Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$47439.00,285,24,1,259,103,83,3,269,107,259,234,9,3,9,1,14,139,89,235,0,1,21,43,39,31,87,23,94,25,9,27,35,48,62,47,9,97,91,44,48,21,76,978,957,286,440,342,0,961,0,6,0,1,9,0,1,546,309,123,294,213,213,258,640,283,51,3,0,0,1
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$9274.00,111,35,5,11,15,24,7,77,67,73,8,1,1,2,6,4,49,53,72,0,54,38,71,48,59,87,79,42,81,8,44,56,26,34,28,97,22,43,95,90,47,78,1227,988,391,601,358,0,596,259,261,3,96,7,2,3,83,465,679,342,689,427,0,341,660,107,80,28,4,7
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$47845.00,315,30,19,142,178,25,3,113,186,108,115,8,0,5,7,15,52,19,75,0,4,8,16,3,1,11,36,52,26,26,81,67,83,72,30,35,6,12,93,19,66,15,762,6,296,340,379,0,252,271,52,44,16,121,0,6,521,84,157,174,255,18,315,419,96,241,0,1,2,3
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$47117.00,302,16,8,26,291,122,0,231,220,93,112,4,7,9,0,12,77,167,205,0,79,22,96,15,83,18,55,4,75,73,82,19,82,13,82,96,4,66,9,30,61,89,1153,183,133,551,467,2,751,127,268,1,0,5,0,1,900,70,183,374,249,883,0,370,236,226,84,99,31,107
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$26226.00,203,17,13,28,99,191,6,24,61,111,165,8,4,8,2,12,39,181,109,0,27,78,70,25,71,61,46,19,38,96,2,72,25,19,73,49,33,35,8,40,79,96,1062,1002,8,341,156,557,125,504,171,26,216,12,6,2,111,762,189,8,397,663,0,805,109,81,50,16,0,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$61729.00,369,39,20,344,236,64,3,193,226,5,132,5,3,6,0,14,95,157,127,0,74,19,4,42,7,47,57,19,43,79,37,17,23,2,99,17,75,74,35,47,16,43,876,415,2,254,342,278,440,208,206,12,8,0,0,2,740,121,15,104,631,87,54,357,494,23,0,0,1,1
Fostering Hope,Back 2 School Event,$71185.00,263,42,3,11,241,62,9,15,127,27,22,2,1,3,1,17,89,262,83,0,82,45,99,45,77,1,49,93,91,47,57,36,63,96,2,41,7,72,46,35,21,71,1176,242,97,39,87,953,894,139,111,23,6,0,2,1,159,746,271,180,579,591,0,229,185,355,135,147,77,48
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$37651.00,362,29,12,293,21,160,8,285,244,332,203,3,1,8,2,19,175,172,281,0,4,77,60,32,32,16,82,10,70,71,38,31,71,9,83,2,94,28,48,32,18,93,1001,545,267,368,471,0,174,282,236,181,94,27,2,5,625,135,241,418,22,533,28,739,220,15,21,5,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$57209.00,281,2,3,105,277,115,2,162,91,263,146,6,8,6,4,11,118,195,74,0,95,37,5,12,66,55,12,39,84,55,60,17,71,34,69,92,76,19,50,22,74,48,1092,799,155,302,50,585,569,186,289,15,26,2,4,1,60,521,511,187,10,605,290,523,348,17,164,6,3,31
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$87579.00,416,28,23,189,249,194,7,332,215,293,202,8,3,0,0,3,203,40,312,0,60,75,24,12,19,9,58,59,68,5,21,92,90,19,17,79,5,23,40,29,52,56,912,223,256,72,404,180,426,138,292,40,2,13,0,1,898,7,7,353,369,450,0,394,465,45,4,1,0,3
