Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$70299.00,296,26,10,12,39,290,1,139,197,24,30,8,1,0,6,7,13,125,175,0,62,50,46,51,25,11,24,75,0,65,60,8,65,46,55,96,17,3,70,52,13,5,899,16,169,366,49,315,622,131,51,63,31,0,0,1,571,32,296,205,585,184,0,673,20,182,18,4,1,1
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$14816.00,129,21,14,82,84,22,7,118,39,6,11,5,6,3,4,6,25,113,108,0,28,20,95,82,76,26,91,20,49,94,57,79,59,55,83,72,76,39,31,89,74,36,1331,646,233,572,625,0,466,712,15,48,3,36,5,46,558,351,422,433,402,622,0,1246,30,27,13,10,4,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$62360.00,328,41,9,242,113,222,2,35,85,116,291,2,0,2,5,7,4,232,245,0,36,29,68,39,92,13,32,59,58,57,83,39,26,19,76,7,83,5,72,76,25,65,1059,440,456,252,130,221,238,668,101,2,2,29,12,7,771,166,122,70,79,56,854,196,805,0,21,20,15,2
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$5902.00,388,26,20,253,132,385,7,166,133,289,159,5,4,7,4,16,78,232,9,0,95,73,53,91,69,12,62,17,2,4,4,65,35,38,16,3,56,72,77,67,84,72,1067,510,84,172,332,479,439,509,75,35,7,0,1,1,287,126,654,135,793,141,0,1008,7,8,35,2,5,2
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$64264.00,250,35,1,212,36,162,6,60,160,196,229,9,8,4,0,9,103,31,119,0,9,35,57,65,23,74,75,85,74,96,25,74,55,40,71,68,64,98,23,63,92,51,1317,840,507,96,235,479,420,236,315,46,206,4,61,29,10,414,893,41,716,284,276,777,191,155,47,89,18,40
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$26260.00,79,0,5,18,76,48,2,46,72,26,56,1,9,8,0,10,35,1,32,0,93,52,82,36,56,44,96,83,80,71,72,43,83,72,50,50,29,32,50,51,74,78,1377,989,464,612,464,0,975,71,221,6,30,2,18,54,219,745,413,687,432,828,0,115,8,312,455,321,57,109
Fostering Hope,Back 2 School Event,$1008.00,175,34,3,41,156,56,1,162,95,1,139,3,9,5,3,8,19,162,110,0,50,10,21,86,26,96,87,87,20,94,61,54,30,15,13,15,61,46,80,75,76,35,1138,726,318,446,465,0,96,765,201,44,3,13,1,15,968,45,125,364,260,280,234,652,295,170,18,0,1,2
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$44921.00,429,46,5,114,170,264,4,84,139,177,174,3,6,4,6,19,132,108,1,0,48,90,59,9,11,23,72,54,63,57,71,51,64,40,27,99,80,74,35,13,22,47,1109,766,398,437,207,67,796,192,5,10,94,11,0,1,955,53,101,402,88,530,89,536,265,7,13,128,127,33
"Girl Talk, Inc.",Safe & Healing Spaces,$42929.00,496,31,21,103,297,83,8,140,22,38,379,8,0,3,2,1,179,105,309,0,70,91,20,17,12,55,29,67,90,93,19,16,77,19,87,90,1,45,58,38,57,95,1146,753,124,475,449,98,105,593,356,8,38,16,10,20,333,164,649,131,431,415,169,989,135,0,6,5,2,9
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$46401.00,256,24,1,167,158,16,0,74,41,3,206,6,3,1,3,11,30,131,36,0,33,10,72,36,47,33,13,47,94,58,73,91,24,56,71,34,21,90,50,20,29,10,1012,992,485,83,399,45,366,249,59,55,203,63,0,17,905,37,70,363,488,523,0,409,101,196,257,0,41,8
