Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$11555.00,136,41,13,123,85,13,9,69,56,55,89,6,6,8,4,15,66,122,92,0,37,58,93,76,25,99,37,7,69,52,94,13,33,53,14,17,65,39,12,37,33,83,1046,215,90,461,461,34,700,164,76,34,58,6,7,1,354,276,416,208,757,154,0,947,88,0,7,3,0,1
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$70845.00,463,14,11,305,174,459,2,404,61,180,412,6,4,4,3,7,134,2,409,0,10,83,71,46,36,89,38,2,28,48,99,28,38,29,66,67,87,99,91,46,42,54,1197,324,243,206,417,331,466,682,22,19,5,1,0,2,872,48,277,468,565,385,0,191,789,162,16,22,12,5
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$81367.00,201,19,20,33,27,14,0,152,113,44,178,1,3,6,6,15,72,68,6,0,22,12,95,96,52,48,86,67,21,32,13,12,92,20,35,42,78,55,94,71,28,25,1096,759,19,211,306,560,13,321,657,83,15,0,4,3,972,53,71,328,608,83,77,900,28,163,3,1,0,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$96823.00,253,40,15,144,27,163,0,69,20,124,217,1,8,0,8,10,18,240,171,0,50,69,2,98,63,63,72,84,72,5,37,42,69,37,32,87,92,30,94,21,97,13,1229,1142,572,354,543,0,292,291,33,534,10,58,1,10,910,47,272,567,92,1114,0,1061,59,64,21,2,18,4
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$89695.00,64,11,5,25,12,11,0,55,13,46,47,3,9,2,0,0,6,13,4,0,85,93,8,52,51,53,35,90,57,59,93,22,98,38,79,27,4,87,35,14,79,8,1167,921,453,394,15,305,811,14,268,36,26,10,0,2,554,489,124,304,785,158,0,477,318,176,15,65,12,104
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$67998.00,91,31,21,74,74,44,5,76,89,82,66,9,3,3,9,16,0,77,14,0,72,76,16,25,13,72,3,65,77,84,95,0,59,23,1,92,78,19,48,9,41,94,1062,2,191,357,372,142,753,123,9,8,142,22,3,2,294,115,653,1,113,672,276,753,243,15,40,10,0,1
Fostering Hope,Back 2 School Event,$16966.00,181,16,15,137,78,102,0,128,129,76,93,4,3,1,6,8,78,176,36,0,43,33,98,13,63,94,59,76,10,63,65,44,39,79,66,43,84,61,55,2,98,22,1210,590,335,244,570,61,85,631,135,307,21,29,0,2,275,546,389,565,61,733,0,562,645,0,2,0,0,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$39309.00,251,7,6,118,202,122,1,228,86,205,222,2,3,3,0,12,122,80,233,0,10,95,55,23,95,49,62,30,92,88,71,34,84,77,93,6,30,56,0,96,84,42,1272,964,636,585,129,0,553,13,326,81,222,71,5,1,1026,241,5,377,641,253,1,925,285,57,4,0,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$11487.00,463,44,10,12,145,434,0,185,383,113,61,4,9,2,5,3,188,171,283,0,71,94,30,99,95,81,27,9,52,43,95,78,92,17,52,91,22,51,10,4,23,39,1175,886,562,532,80,1,217,112,809,35,0,0,0,2,115,582,478,201,423,116,435,112,699,118,44,107,38,57
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$66891.00,453,49,1,307,253,19,3,317,311,122,101,4,3,8,1,5,220,80,123,0,56,12,45,28,33,95,23,25,47,84,35,77,31,59,77,28,40,80,16,93,14,10,1008,236,2,288,16,702,375,446,112,24,32,12,6,1,349,633,26,430,188,688,0,732,0,173,43,42,17,1
