Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$33250.00,341,10,1,175,226,185,5,190,46,38,173,2,1,0,9,14,21,23,10,0,63,7,18,76,52,6,72,23,52,37,49,29,21,11,4,64,23,24,47,11,63,51,803,97,207,254,342,0,190,216,236,8,10,78,6,59,159,37,607,376,60,245,122,480,230,8,82,0,1,2
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$17303.00,342,8,22,105,222,313,2,210,212,284,131,6,2,1,5,4,43,231,214,0,10,83,94,53,75,28,96,15,84,7,50,97,82,63,0,0,75,96,57,97,88,38,1288,1082,642,576,42,28,733,240,268,9,17,6,1,14,768,329,191,40,963,184,101,1166,65,42,10,4,0,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$49668.00,366,44,20,242,32,101,4,120,232,198,331,1,3,2,9,7,20,191,348,0,65,83,88,35,70,63,46,60,42,44,83,84,22,32,2,76,63,90,88,84,52,19,1291,1183,482,218,547,44,362,692,74,144,14,1,3,1,1220,28,43,247,262,751,31,780,453,38,19,0,0,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$77538.00,333,41,12,116,297,52,9,93,85,314,20,9,5,2,9,2,95,247,35,0,66,46,94,94,51,60,83,71,42,62,99,43,83,24,14,21,4,86,12,38,7,97,1197,972,208,50,431,508,313,19,144,505,91,32,29,64,865,62,270,417,184,829,0,542,64,93,139,121,233,5
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$46395.00,364,21,21,355,354,3,3,250,29,142,198,5,8,7,3,11,117,323,295,0,87,2,68,89,13,10,98,93,99,26,48,5,29,69,87,93,79,82,47,5,14,20,1163,1095,230,442,484,7,997,74,24,48,13,6,0,1,635,127,401,271,878,220,0,1074,52,36,0,0,0,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$98308.00,131,45,16,45,56,128,7,105,101,22,114,9,9,9,9,9,37,3,4,0,84,15,26,21,8,6,93,97,85,77,44,57,56,75,21,81,32,9,24,42,71,8,1032,20,85,443,105,399,942,53,3,21,10,1,1,1,436,488,108,463,142,34,393,478,472,21,55,4,1,1
Fostering Hope,Back 2 School Event,$27341.00,260,15,20,215,199,88,3,193,171,166,50,8,0,7,3,15,123,133,110,0,87,53,18,88,72,85,97,66,62,40,89,4,53,15,99,32,99,93,85,46,14,88,1385,359,239,260,450,436,83,289,461,225,59,72,8,188,598,388,399,147,381,312,545,756,356,17,227,16,12,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$35935.00,70,30,9,56,3,52,8,32,52,56,1,1,4,9,8,11,11,67,21,0,72,72,19,20,47,16,33,95,14,92,65,27,3,7,83,61,76,20,75,37,82,76,1092,1001,124,374,253,341,20,824,116,18,19,64,13,18,598,305,189,269,7,546,270,813,267,3,7,0,0,2
"Girl Talk, Inc.",Safe & Healing Spaces,$51355.00,92,10,14,35,71,38,6,30,11,2,46,3,2,4,9,19,43,6,43,0,66,17,99,37,55,7,17,6,47,91,71,91,58,39,59,86,13,79,72,98,84,90,1282,413,100,195,275,712,781,79,180,89,97,10,23,23,436,17,829,216,1033,241,0,285,611,121,60,37,47,121
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$47083.00,413,2,17,145,47,72,6,321,211,218,278,8,5,1,4,0,168,158,228,0,25,44,94,40,3,4,98,4,93,49,71,43,29,32,13,63,80,52,73,67,22,62,1061,885,415,385,265,0,362,340,129,89,78,40,15,8,335,228,498,135,403,420,103,12,346,406,132,21,96,48
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$69131.00,114,11,23,24,35,89,7,94,56,47,43,3,6,7,8,1,15,113,61,0,74,92,65,79,24,20,74,52,29,39,83,34,2,46,58,97,96,4,59,55,22,66,1170,303,257,534,103,276,436,546,5,170,5,3,4,1,87,243,840,452,39,41,638,23,988,59,87,7,1,5
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$3313.00,183,29,8,114,103,95,1,13,43,20,29,0,4,6,6,11,80,120,133,0,38,19,32,0,52,14,72,70,79,49,96,96,82,60,7,10,25,46,46,79,51,41,1064,303,257,255,368,184,662,360,23,6,12,0,0,1,785,205,74,86,488,406,84,516,9,123,198,150,11,57
