Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$51919.00,194,7,0,165,39,20,0,50,34,154,97,5,7,8,3,1,23,153,72,0,28,99,94,94,64,83,31,95,94,55,98,58,96,97,18,34,1,31,85,75,82,95,1507,314,16,680,585,226,645,451,384,24,1,0,0,2,372,347,788,39,1151,264,53,318,284,168,125,311,3,298
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$13979.00,137,4,16,112,44,80,3,134,62,125,28,1,7,8,2,10,27,99,106,0,10,0,52,56,86,3,96,14,62,23,96,29,2,4,40,32,28,52,84,82,50,92,993,23,294,178,73,448,113,363,273,172,35,22,3,12,938,22,33,332,547,179,0,84,207,326,269,91,10,6
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$65430.00,126,40,12,2,80,68,8,14,29,18,52,1,6,2,8,16,15,63,92,0,60,97,83,92,8,38,87,60,45,15,64,7,96,36,58,91,65,61,33,57,89,67,1309,966,92,253,151,813,918,211,169,8,0,0,1,2,1278,8,23,486,384,873,0,1258,12,11,0,5,0,23
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$34871.00,267,23,15,152,246,201,1,114,243,239,148,5,9,7,0,12,30,84,233,0,7,47,28,34,59,87,80,28,73,32,48,33,34,26,89,18,85,13,50,46,93,66,1076,406,42,301,328,405,1057,0,8,9,0,1,0,1,987,26,63,402,33,90,551,440,606,0,10,12,7,1
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$30016.00,458,33,18,398,424,178,3,238,337,267,372,3,1,6,8,3,173,395,184,0,74,17,1,30,31,41,84,70,36,72,76,58,12,57,47,29,61,45,12,21,91,3,968,759,355,250,89,274,763,86,110,7,1,0,0,1,658,159,151,326,212,593,0,377,160,57,216,13,100,45
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$38112.00,101,1,22,74,91,88,7,82,88,46,17,4,0,4,6,9,24,100,64,0,72,69,25,77,19,11,92,71,14,59,86,9,83,81,7,1,87,88,34,83,80,55,1203,690,425,381,382,15,678,93,62,330,4,34,0,2,930,189,84,245,754,100,104,767,215,4,140,25,38,14
Fostering Hope,Back 2 School Event,$94363.00,450,35,0,260,327,46,7,390,180,59,6,8,4,6,2,7,86,65,412,0,65,34,38,59,64,34,43,7,17,23,96,90,77,63,71,46,43,82,49,2,61,64,1128,277,205,430,92,401,56,448,368,97,53,100,4,2,264,594,270,194,429,629,0,412,304,142,114,21,74,61
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$89904.00,225,16,4,17,21,111,5,13,79,141,43,8,5,0,8,4,31,54,50,0,69,84,62,1,14,18,87,54,6,15,65,86,51,12,23,9,52,68,63,91,40,50,1020,393,182,105,77,656,641,138,144,45,48,3,0,1,601,53,366,315,558,257,0,956,51,11,0,1,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$74697.00,75,9,19,32,29,53,4,30,16,62,59,6,1,2,6,4,4,29,26,0,36,80,9,21,10,90,23,48,20,23,68,73,62,18,45,73,11,59,56,65,99,34,1023,27,185,29,434,375,321,586,9,58,33,8,0,8,577,304,142,268,378,140,237,115,473,290,25,78,37,5
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$81328.00,91,42,11,86,63,14,7,17,76,22,35,5,3,1,8,18,43,30,12,0,61,72,76,65,91,87,85,77,95,17,73,60,4,37,45,68,77,60,92,20,31,61,1354,548,195,291,651,217,686,661,1,0,4,0,0,2,1248,91,15,260,617,615,0,33,37,862,56,16,258,92
