Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$49351.00,456,9,17,381,191,67,0,48,70,68,378,2,4,7,1,11,215,267,10,0,37,94,90,93,3,43,25,5,57,15,71,77,73,50,91,37,63,63,47,81,4,83,1202,132,407,67,275,453,363,296,456,83,1,1,1,1,980,5,217,86,255,189,672,451,624,45,76,1,0,5
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$77414.00,373,19,4,202,338,124,9,178,3,256,312,4,4,3,3,17,91,187,28,0,94,14,58,91,3,24,91,89,36,42,62,26,18,98,58,63,35,73,88,69,73,37,1242,928,602,334,551,0,440,346,175,192,30,1,51,7,454,123,665,431,263,934,0,1032,160,40,4,1,4,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$48940.00,285,26,24,213,188,246,0,137,36,35,60,1,5,0,5,15,61,63,187,0,22,17,12,39,24,26,28,2,73,68,8,1,34,19,99,27,14,26,71,77,26,94,807,662,192,338,324,0,514,290,1,1,0,0,0,1,687,106,14,20,6,78,703,590,7,207,1,0,1,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$97232.00,206,12,19,93,181,14,3,85,205,50,27,8,6,5,0,8,85,130,179,0,0,20,23,92,31,86,64,33,86,24,91,71,3,25,22,30,95,21,18,20,85,52,992,680,300,43,95,554,689,216,28,11,12,6,12,18,576,291,125,21,405,102,464,480,326,138,2,4,37,5
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$94216.00,91,31,2,39,85,69,1,57,5,18,76,4,9,0,2,8,16,19,58,0,99,8,16,54,6,4,0,49,55,56,72,6,69,50,45,44,48,30,53,81,16,10,871,344,145,307,33,386,554,30,19,87,10,109,4,58,454,190,227,386,221,477,0,68,180,230,342,27,20,4
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$90191.00,459,33,14,188,142,390,6,132,32,77,60,9,9,3,8,14,22,410,417,0,37,83,16,13,10,99,3,72,12,40,15,43,64,96,54,75,3,32,49,67,27,70,980,619,52,201,280,447,282,343,80,195,4,0,69,7,865,89,26,412,276,259,33,482,450,18,25,2,1,2
Fostering Hope,Back 2 School Event,$96310.00,45,21,6,6,17,29,9,29,41,41,20,1,0,8,2,8,18,13,34,0,47,20,90,56,14,67,74,31,47,91,22,93,54,4,18,58,24,70,0,70,34,67,1051,1001,213,197,184,457,805,133,44,63,4,0,1,1,575,54,422,410,564,180,0,229,811,1,3,5,1,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$66758.00,273,8,15,243,204,154,8,171,41,151,48,4,6,0,5,16,108,151,14,0,67,65,58,42,65,16,70,14,57,19,18,13,9,9,33,63,17,87,80,44,73,96,1015,883,427,151,233,204,843,38,60,20,18,17,0,19,964,29,22,281,421,115,198,839,94,0,81,0,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$17807.00,26,44,4,4,14,17,3,10,23,3,15,8,0,8,1,10,3,21,15,0,73,80,61,80,1,52,14,25,46,79,10,45,87,11,68,52,32,54,46,69,6,93,1084,69,186,203,375,320,694,154,47,151,23,9,3,3,605,100,379,180,366,663,0,666,233,16,42,20,44,63
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$30888.00,182,10,13,66,45,151,1,64,166,80,174,0,7,5,0,7,13,159,100,0,62,83,53,37,19,83,80,27,1,34,50,55,5,96,57,57,15,85,10,36,47,53,1045,962,239,474,258,74,750,16,221,3,15,12,14,14,54,150,841,472,47,857,0,578,291,6,58,23,45,44
