Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$4337.00,46,3,18,21,43,45,7,33,35,5,18,6,4,7,8,7,4,15,44,0,81,4,15,46,28,9,46,95,63,38,55,90,8,14,94,70,60,8,16,71,87,28,1026,264,365,382,167,112,743,187,50,39,2,0,0,5,54,313,659,71,124,241,590,795,182,10,29,1,6,3
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$78282.00,266,33,15,214,44,70,2,87,206,11,118,9,1,7,8,18,118,198,264,0,20,7,2,25,74,49,28,49,38,11,42,62,23,73,37,86,31,70,94,72,52,26,971,224,283,353,77,258,18,766,7,161,4,8,5,2,89,645,237,112,370,35,454,524,22,80,46,218,13,68
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$85414.00,218,2,2,185,143,6,7,185,113,129,1,6,4,7,6,17,48,198,74,0,86,34,39,26,87,96,4,44,81,32,27,33,89,46,55,29,74,62,75,6,33,44,1102,1095,508,266,12,316,304,754,11,2,28,2,0,1,994,54,54,407,541,364,0,872,90,69,0,49,20,2
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$90499.00,31,9,22,22,4,17,3,19,29,14,9,9,4,9,8,10,13,23,13,0,71,11,45,56,91,34,58,30,71,35,81,16,17,25,6,99,66,47,97,15,47,72,1090,239,519,465,354,0,634,31,71,319,6,28,0,1,1005,46,39,199,398,476,17,943,127,2,16,1,0,1
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$76632.00,245,11,12,79,114,36,9,51,50,111,217,8,5,1,0,8,65,159,142,0,22,94,34,74,94,99,2,52,20,57,97,62,82,8,21,56,76,66,13,6,47,97,1179,333,17,545,116,501,462,606,76,16,3,14,1,1,690,51,438,28,501,11,639,566,6,381,222,0,3,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$41849.00,267,18,6,144,186,244,6,87,151,29,51,3,4,3,7,15,6,78,72,0,26,80,49,79,8,37,46,8,50,62,0,83,91,91,34,22,47,94,74,98,60,66,1205,986,483,7,442,273,650,174,75,118,85,66,36,1,555,622,28,149,210,919,0,971,223,6,4,0,0,1
Fostering Hope,Back 2 School Event,$57451.00,391,30,20,36,223,47,4,115,355,166,89,5,6,8,2,4,94,36,247,0,89,47,16,28,62,26,64,72,87,54,21,98,5,88,10,61,93,53,58,91,87,2,1212,433,502,61,125,524,673,419,51,60,5,1,0,3,185,668,359,62,229,649,272,200,646,363,2,0,0,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$84766.00,388,39,6,363,60,311,9,282,67,70,328,6,7,9,8,2,25,239,85,0,6,10,24,32,68,8,77,2,68,61,59,71,99,46,52,15,78,11,51,81,86,26,1031,790,97,135,72,727,265,657,7,70,5,24,2,1,447,41,543,230,537,211,53,443,331,231,6,15,4,1
"Girl Talk, Inc.",Safe & Healing Spaces,$97429.00,409,9,11,308,227,374,4,85,233,364,236,3,9,0,8,4,15,400,300,0,48,81,38,56,82,62,37,70,28,21,13,86,85,14,86,14,54,73,22,92,10,44,1116,643,370,361,411,0,922,113,53,12,11,1,3,1,581,94,441,136,570,323,87,181,102,533,238,47,7,8
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$83443.00,276,10,21,227,139,27,1,243,60,53,26,8,1,1,7,0,63,155,68,0,6,68,98,82,68,50,53,80,43,16,62,75,75,73,22,74,55,67,48,64,78,22,1279,676,345,193,102,639,964,116,68,5,123,0,0,3,455,187,637,289,421,31,538,744,12,509,13,0,0,1
