Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$76291.00,0,46,1,0,0,0,1,0,0,0,0,5,9,6,4,19,0,0,0,0,14,86,15,0,4,30,33,29,11,79,12,33,10,52,86,46,76,36,92,75,52,79,950,177,140,39,424,347,811,72,45,11,5,0,0,6,159,745,46,325,237,591,0,608,91,206,39,1,0,5
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$97339.00,34,47,23,4,11,1,5,18,28,13,0,8,7,0,8,13,7,13,7,0,49,91,56,95,12,76,24,78,28,45,99,32,91,1,94,48,53,67,40,9,7,74,1169,981,447,257,330,135,10,328,529,159,58,65,15,5,1120,37,12,521,610,447,0,302,169,248,24,280,54,92
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$68113.00,482,18,8,126,339,71,7,2,219,402,327,5,9,6,4,3,4,173,447,0,59,17,29,39,89,52,26,83,90,53,28,90,87,25,29,95,79,27,4,36,86,64,1187,279,171,69,250,697,195,39,934,18,0,0,0,1,1096,12,79,21,44,1008,114,499,213,268,202,0,2,3
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$13945.00,224,15,5,161,168,88,0,19,90,217,109,7,8,2,6,12,15,17,186,0,95,62,88,14,4,64,52,75,65,46,19,45,5,47,36,60,25,27,24,86,3,82,1024,503,305,78,290,351,338,549,20,28,70,6,6,7,108,353,563,90,746,168,20,872,65,82,1,0,1,3
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$28502.00,34,49,3,32,7,2,3,33,12,22,12,3,1,5,8,15,2,7,2,0,56,19,5,25,28,2,29,82,46,87,20,57,36,40,45,93,96,59,14,92,71,97,1099,484,213,193,378,315,559,329,70,126,12,0,0,3,162,600,337,98,960,14,27,950,22,94,0,21,5,7
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$14934.00,245,29,24,98,185,85,9,50,236,222,241,2,3,8,4,3,104,44,148,0,76,6,37,24,59,92,60,48,88,21,32,12,85,55,2,15,26,68,67,36,36,85,1030,205,59,495,192,284,825,161,28,8,6,1,0,1,985,18,27,206,207,286,331,286,92,357,106,127,53,9
Fostering Hope,Back 2 School Event,$58568.00,178,44,15,52,11,166,3,6,97,83,156,3,0,9,3,19,24,26,90,0,91,8,71,5,72,2,82,73,4,31,38,29,1,90,8,6,0,32,23,69,63,60,858,15,163,240,403,52,468,7,39,82,26,142,66,28,394,70,394,257,112,269,220,737,91,0,2,25,0,3
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$32907.00,226,41,17,94,223,91,1,201,84,143,89,8,0,4,2,14,8,219,212,0,53,85,80,52,19,50,6,17,68,80,88,9,81,38,4,86,86,71,31,88,88,65,1245,631,608,328,536,0,461,363,194,107,92,15,11,2,604,70,571,46,579,33,587,678,33,201,241,62,28,2
"Girl Talk, Inc.",Safe & Healing Spaces,$46753.00,151,18,3,53,15,19,0,8,39,110,4,1,9,2,4,17,4,128,78,0,65,10,89,56,68,26,50,70,21,45,22,15,36,88,36,27,34,59,74,53,18,78,1040,426,220,262,513,45,678,21,230,66,11,33,0,1,116,774,150,4,563,73,400,908,108,6,12,4,0,2
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$57742.00,322,10,11,211,42,98,6,21,264,52,5,7,3,0,7,7,29,157,98,0,33,47,91,93,76,23,7,66,55,77,32,52,10,5,41,94,59,46,12,38,10,88,1055,574,444,182,44,385,746,286,21,1,0,0,0,1,0,103,952,503,289,746,0,372,455,173,46,4,4,1
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$94421.00,232,40,18,10,193,77,5,219,49,49,51,3,5,5,6,6,8,90,0,0,10,63,95,50,29,62,59,42,67,90,7,99,96,22,22,38,68,81,3,77,91,49,1220,372,253,222,539,206,757,326,111,1,1,7,1,16,588,173,459,89,103,464,564,295,596,199,90,19,0,21
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$18375.00,366,25,5,119,2,308,7,285,94,215,364,3,4,2,4,16,122,86,134,0,21,32,97,29,31,22,26,46,35,56,11,24,64,13,99,55,99,20,37,46,74,40,977,288,302,16,204,455,253,264,406,38,15,0,0,1,62,869,46,72,301,254,350,401,76,439,54,5,0,2
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$78447.00,48,32,24,31,9,6,3,0,21,24,20,8,9,4,2,10,3,2,15,0,64,48,45,18,7,9,28,0,5,37,62,24,26,32,57,26,70,30,98,67,34,53,840,779,107,235,30,468,632,185,1,11,6,0,3,2,100,299,441,142,659,44,0,371,210,139,44,66,8,2
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$32523.00,193,14,21,21,53,3,5,89,9,90,26,5,8,4,2,16,87,120,100,0,22,63,44,65,41,59,32,30,88,9,67,89,27,11,84,28,52,5,52,4,96,84,1052,545,416,160,117,359,2,4,717,139,143,15,23,9,763,206,83,189,559,3,301,491,556,1,0,0,0,4
