Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$36593.00,435,12,8,432,346,30,8,105,403,161,319,0,2,5,3,10,60,50,165,0,32,82,37,80,18,83,45,23,25,32,1,23,73,0,8,62,90,80,45,72,20,33,964,911,33,476,105,350,274,168,457,14,9,10,9,23,796,94,74,43,54,643,224,752,6,189,13,2,1,1
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$88918.00,100,33,5,86,96,68,3,95,31,63,0,4,0,8,2,17,23,14,22,0,20,32,44,58,94,87,32,23,69,50,37,50,47,2,15,91,96,69,15,21,24,32,1008,529,167,3,176,662,3,783,10,67,57,29,30,29,237,365,406,75,267,504,162,867,92,15,33,0,0,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$34068.00,105,8,7,86,79,57,8,28,77,36,7,5,1,4,4,7,41,40,66,0,22,18,40,20,10,70,48,23,43,37,1,1,38,72,34,34,71,69,0,1,88,77,817,594,287,252,371,0,286,264,167,54,5,23,3,15,617,152,48,297,132,204,184,472,125,32,142,29,12,5
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$33535.00,96,23,8,87,69,51,7,95,17,90,11,7,8,4,7,13,26,91,74,0,98,22,90,54,24,86,8,27,53,87,64,72,32,83,90,53,86,14,77,90,36,36,1282,369,43,170,467,602,8,134,92,89,44,123,511,281,425,0,857,518,622,533,0,179,411,434,155,32,41,30
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$51743.00,354,34,21,93,275,141,3,41,90,36,58,7,7,2,4,4,128,77,105,0,66,34,41,92,38,87,82,39,84,11,45,72,39,76,71,55,77,13,58,42,22,10,1154,209,501,158,568,0,779,202,60,81,12,11,5,4,602,276,276,234,487,567,0,442,568,126,13,0,0,5
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$18029.00,254,18,23,77,128,34,2,229,92,165,169,3,2,3,2,9,79,243,67,0,21,49,10,68,89,5,54,53,26,39,42,81,82,29,26,15,82,74,92,11,22,50,1020,284,215,402,105,298,895,85,7,8,24,0,0,1,118,526,376,23,925,4,68,188,112,72,426,213,4,5
Fostering Hope,Back 2 School Event,$11487.00,336,8,24,47,145,108,7,152,138,247,144,8,2,4,4,14,160,76,11,0,21,45,21,48,22,8,24,53,39,64,59,4,48,43,99,79,48,41,98,36,5,69,974,417,368,369,419,0,401,272,137,48,74,15,17,10,441,68,465,431,518,239,0,37,239,46,467,103,81,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$57328.00,489,41,0,304,264,13,2,32,253,291,435,6,0,5,0,12,223,329,207,0,90,0,75,64,33,72,48,36,2,51,73,60,24,70,81,68,45,44,9,28,29,69,1071,171,17,208,484,362,117,646,58,12,94,48,14,82,634,240,197,250,482,193,146,979,34,41,3,13,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$95266.00,76,17,11,7,61,46,7,56,26,16,45,9,8,3,3,17,20,49,68,0,64,63,34,89,73,47,32,69,65,32,83,36,97,55,41,37,93,99,62,34,37,1,1243,737,348,244,249,402,1015,226,0,0,1,0,0,1,887,117,239,579,583,411,0,89,1071,4,18,60,0,1
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$77007.00,435,5,6,123,220,43,4,122,63,306,102,8,5,0,2,0,118,355,282,0,49,14,10,3,63,79,15,17,26,62,97,82,97,51,60,80,14,97,62,20,91,56,1145,913,73,253,372,447,912,177,49,3,1,2,0,1,323,389,433,310,63,481,291,713,388,1,1,21,1,20
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$17951.00,494,39,14,6,42,349,0,311,67,360,67,0,7,6,5,12,199,417,344,0,54,13,41,81,1,71,19,36,34,2,70,64,23,5,60,55,97,26,49,16,99,66,982,362,229,167,66,520,264,216,298,195,5,1,2,1,59,418,505,343,181,733,0,372,528,72,3,2,1,4
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$91202.00,68,19,19,51,45,20,7,49,63,1,42,8,0,0,8,19,31,18,57,0,97,33,13,59,28,29,93,60,52,35,78,68,21,58,86,74,87,79,32,59,38,55,1234,1146,509,98,120,507,452,620,120,16,13,3,7,3,1070,132,32,246,295,88,605,173,121,872,18,40,7,3
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$40825.00,168,0,2,151,1,74,4,1,124,19,0,6,9,7,4,5,71,68,40,0,88,28,7,33,87,70,71,54,26,8,52,11,54,53,71,76,30,55,62,96,90,33,1155,90,531,130,0,494,1132,20,0,0,0,0,1,2,1000,109,46,154,433,281,287,1073,45,25,11,0,0,1
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$70659.00,230,23,24,125,102,80,2,141,1,43,7,4,0,3,7,12,33,225,207,0,54,75,66,46,39,4,47,10,52,34,85,51,72,50,63,17,59,58,53,75,8,1,1019,879,92,488,141,298,329,581,3,55,8,3,17,23,393,274,352,222,349,265,183,426,498,50,6,9,3,27
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$59377.00,482,0,10,461,429,470,3,5,385,429,401,8,7,9,2,5,189,313,363,0,79,46,58,16,47,74,65,61,52,5,3,62,76,90,61,77,1,88,96,81,90,52,1280,969,636,360,328,0,709,236,246,62,24,0,1,2,801,351,128,42,1107,165,0,1168,42,47,2,3,16,2
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$17863.00,28,27,11,1,18,9,6,23,20,11,27,6,6,8,9,5,0,13,13,0,84,5,2,79,95,80,31,70,90,47,84,67,54,51,15,55,60,90,41,42,83,32,1257,207,293,455,58,451,891,101,97,54,3,66,28,17,78,45,1134,490,281,665,0,236,653,350,1,15,0,2
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$28999.00,318,24,19,250,6,167,4,96,155,238,193,9,9,2,3,6,10,13,297,0,1,4,15,99,5,67,96,88,86,32,64,50,77,18,43,28,83,15,93,83,70,35,1152,256,311,574,223,44,662,191,126,149,21,1,1,1,587,179,386,547,267,733,0,481,264,181,23,51,70,82
Knoxville Internationals Network-KIN,ELL Summer Camp,$36506.00,189,22,16,63,153,119,3,135,50,161,117,1,8,8,9,1,70,187,55,0,81,77,43,19,2,67,84,78,50,19,76,57,62,30,32,39,71,60,2,59,59,54,1121,634,121,444,201,355,294,154,92,87,104,57,248,85,435,404,282,321,487,308,5,219,762,50,20,47,11,12
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$45349.00,228,40,23,164,26,195,2,66,86,63,139,6,6,5,6,14,44,125,189,0,80,94,50,82,87,92,71,38,8,23,20,40,77,21,11,41,47,21,75,74,7,15,1074,176,200,145,126,603,598,77,194,143,39,14,1,8,230,418,426,148,365,62,499,599,474,0,0,0,0,1
Legal Aid of East Tennessee,Mental Health Law Partnership,$96319.00,125,38,22,14,80,3,4,69,90,55,77,8,2,7,1,18,43,15,111,0,81,53,5,95,11,66,80,5,26,65,79,40,37,48,52,22,14,99,1,72,14,75,1040,433,84,0,79,877,330,183,367,51,97,9,0,3,257,289,494,270,15,463,292,871,23,107,2,28,1,8
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$60875.00,228,9,9,125,66,49,0,15,224,4,89,9,5,4,8,14,109,189,134,0,69,87,31,71,36,12,47,45,5,10,87,4,42,31,10,90,19,19,66,15,56,8,860,55,342,72,64,382,350,324,27,33,100,0,23,3,69,653,138,114,563,17,166,53,273,252,171,99,6,6
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$6261.00,183,18,15,131,40,173,7,168,123,181,167,3,8,6,2,19,41,87,56,0,6,96,4,40,49,30,22,91,1,55,0,11,19,30,93,52,39,54,94,85,8,24,903,25,196,392,240,75,147,518,230,7,0,0,0,1,771,86,46,126,181,225,371,328,258,308,6,0,0,3
Mental Health Association of East Tennessee,Treatment Access Bank,$60626.00,346,14,12,75,234,162,0,325,209,108,149,0,7,6,4,13,119,177,100,0,86,11,54,32,24,70,64,50,52,54,60,7,75,27,4,15,83,84,67,71,45,2,1037,644,504,88,15,430,381,216,4,15,97,241,82,1,660,342,35,292,690,335,0,712,223,22,68,10,1,1
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$86024.00,350,13,7,37,48,1,4,335,121,313,145,6,4,9,7,19,114,293,114,0,18,74,63,49,41,73,53,8,22,13,87,85,36,16,45,99,72,35,82,73,61,55,1160,737,107,80,437,536,117,810,134,4,9,0,47,39,940,102,118,504,2,610,44,582,325,153,21,42,5,32
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$94992.00,305,25,9,164,233,242,4,28,191,231,227,6,1,0,6,15,137,105,6,0,10,65,23,54,98,32,67,89,75,60,10,39,29,94,87,65,40,93,31,12,22,15,1110,197,178,354,141,437,776,123,169,7,21,0,8,6,977,27,106,312,700,75,23,104,315,486,168,6,8,23
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy for Justice Involved and Homeless Youth,$33366.00,481,28,9,28,4,19,6,376,286,288,327,0,1,6,2,19,173,107,354,0,46,32,85,13,74,49,53,87,79,33,24,99,54,12,70,41,5,33,99,35,19,22,1064,459,470,532,247,0,909,79,11,41,20,2,0,2,836,196,32,4,721,73,266,664,162,84,61,83,1,9
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy Community Behavioral Initiative,$97854.00,47,10,17,29,43,44,7,4,8,20,8,7,7,1,2,15,17,21,36,0,2,29,17,78,55,67,19,63,32,51,52,41,24,72,70,95,86,31,5,70,64,61,1084,106,4,117,448,515,559,252,192,22,17,38,3,1,355,3,726,144,285,507,148,324,83,588,84,1,3,1
"My Daughters Journey, Inc.",My Daughters Journey Family Advocacy Program,$77412.00,139,45,20,0,99,98,9,72,56,66,133,2,1,4,0,7,38,84,109,0,69,78,44,4,37,59,84,57,92,33,10,61,23,68,27,11,79,27,23,26,36,4,952,797,298,409,171,74,134,566,202,8,38,1,1,2,16,564,372,159,655,282,0,63,93,688,78,26,2,2
"New Direction Health Care Solutions, Inc.",New Direction - Dealing With Loneliness and the Mental Health Implications,$10578.00,31,14,6,26,21,7,2,14,3,27,16,5,2,5,1,0,3,14,0,0,69,52,46,82,43,22,70,25,98,50,75,57,55,87,10,16,4,46,69,13,79,48,1116,882,42,327,508,239,561,453,90,8,3,0,0,1,751,159,206,540,499,381,0,853,226,19,12,4,1,1
"New Direction Health Care Solutions, Inc.",New Direction - Back to Basic Needs at Vaccine Clinics (The Period),$90897.00,446,11,0,153,70,358,0,93,48,56,115,7,2,3,7,13,66,257,142,0,65,69,66,41,21,94,20,18,23,22,18,24,81,88,70,76,89,23,6,54,59,41,1068,176,162,194,71,641,199,480,123,232,18,11,4,1,662,123,283,245,650,110,63,986,66,3,10,2,0,1
Next Step Initiative,Community Outreach Program,$73491.00,138,0,15,7,14,19,4,2,28,30,109,8,3,4,7,6,5,36,111,0,40,83,39,4,46,50,61,80,98,61,4,28,36,23,83,64,14,31,25,7,79,6,962,305,164,269,399,130,672,196,75,1,13,0,2,3,365,504,93,334,115,830,0,793,4,29,28,14,88,6
Next Step Initiative,Trenches 2 Treatment / Community Outreach Program,$19510.00,311,38,3,49,87,64,6,77,18,235,164,2,7,2,9,11,148,292,299,0,89,3,33,8,40,95,88,64,29,39,65,76,55,10,11,96,47,49,61,13,14,13,998,148,263,393,233,109,993,0,0,3,1,0,0,1,219,111,668,263,21,697,17,410,295,210,59,21,1,2
"Nourish Knoxville, Inc",Nourish Community: Locally Grown Produce for At-Risk Community Members,$86036.00,434,44,2,175,415,312,9,322,340,327,419,1,3,3,5,13,23,433,194,0,85,28,62,38,45,78,23,77,61,47,32,26,78,38,69,67,22,39,93,27,66,58,1159,202,330,53,456,320,745,343,6,40,8,14,2,1,80,642,437,547,450,557,0,826,124,170,27,5,5,2
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$622.00,332,4,13,290,18,282,4,310,192,67,114,8,4,4,3,8,105,87,28,0,58,97,48,64,37,23,41,55,99,51,72,65,26,96,57,17,4,58,61,18,53,46,1146,804,329,298,225,294,889,59,109,34,28,12,0,15,1101,13,32,389,525,585,0,277,99,758,0,1,4,7
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$35158.00,233,13,15,138,39,93,1,132,40,22,90,7,5,3,3,16,99,209,164,0,7,23,43,28,71,81,78,54,32,30,71,82,32,84,73,1,45,86,59,35,99,99,1213,867,184,268,379,382,88,861,4,112,19,82,46,1,216,824,173,201,390,640,0,1012,82,35,43,12,14,15
Shora Foundation,Academic Center,$57163.00,404,46,6,199,330,367,6,319,259,75,392,5,0,7,8,2,32,113,86,0,60,4,66,91,22,98,8,62,83,48,30,79,14,59,73,99,19,94,82,72,73,14,1250,1010,495,162,455,138,130,333,682,53,3,3,44,2,1079,42,129,82,728,393,47,455,649,113,32,0,0,1
Shora Foundation,Shora Foundation - Mental Health Division,$66994.00,142,24,22,25,19,110,4,90,54,64,77,8,9,3,6,2,3,58,62,0,30,89,35,91,68,46,29,62,96,50,77,15,6,48,63,36,12,82,66,89,44,15,1149,1047,271,499,174,205,274,75,511,246,19,12,11,1,578,232,339,47,22,824,256,658,486,3,1,0,0,1
Shora Foundation,Shora Foundation Academic Center,$9477.00,170,0,2,27,10,13,5,46,95,2,127,8,0,2,2,10,3,154,26,0,94,70,7,17,42,49,10,81,20,62,44,56,47,39,90,39,43,23,13,86,99,31,1062,970,73,375,13,601,530,125,338,40,2,25,0,2,691,10,361,397,409,499,0,319,385,239,90,1,27,1
"Soar Youth Ministries, dba Thrive Lonsdale",Thrive Afterschool and Summer Program Providing Nutritious Meals and Academic Support,$4015.00,351,0,6,285,186,132,8,342,36,206,331,3,0,2,7,16,6,212,123,0,13,92,28,79,7,79,78,45,83,14,75,44,55,65,23,24,55,9,0,85,35,84,1072,556,502,80,254,236,807,252,3,4,1,3,0,2,281,784,7,311,67,276,418,667,390,7,5,0,1,2
Solidarity Development and Light Association,Refugee family stabilization,$35069.00,432,30,2,367,113,420,0,282,263,80,318,3,3,7,1,3,212,394,396,0,46,21,72,83,63,21,95,20,11,80,54,43,47,40,65,20,16,35,77,42,86,21,1058,985,334,477,131,116,606,209,152,74,1,7,3,6,290,275,493,89,882,16,71,541,388,92,34,0,2,1
Spark,Spark A Journey,$91864.00,192,38,18,43,58,58,3,60,159,67,170,6,2,9,5,12,6,166,161,0,20,95,64,80,92,14,12,36,45,38,29,43,52,98,25,3,24,77,71,37,47,61,1063,929,116,115,243,589,427,60,540,8,1,11,9,7,222,734,107,484,484,22,73,196,568,34,9,189,26,41
Susannah's House,Mothers in Recovery,$30366.00,227,10,12,194,89,97,6,74,48,99,45,3,8,9,8,19,105,133,144,0,69,38,63,94,70,11,82,62,78,73,33,38,45,2,36,54,66,16,76,2,62,50,1120,592,377,165,131,447,22,788,138,67,94,0,7,4,232,57,831,453,606,46,15,838,153,118,8,0,1,2
The Children's Center of Knoxville,Tuition Assistance for low-income/at risk families,$54138.00,347,41,14,196,97,266,0,63,134,96,87,4,0,6,1,5,37,332,296,0,85,54,2,16,37,87,38,65,4,93,57,13,20,37,62,12,55,33,41,23,80,72,986,91,383,431,215,0,823,56,84,14,4,0,3,2,243,394,349,76,74,599,237,485,216,78,64,0,100,43
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,$10290.00,240,2,20,37,12,224,1,235,67,219,165,7,6,9,4,16,28,67,125,0,18,54,43,31,62,98,46,43,31,17,42,20,87,38,87,33,21,19,35,46,14,91,976,787,424,123,404,25,604,273,22,69,2,4,1,1,385,556,35,272,79,829,0,902,32,26,10,1,4,1
The Mend House Sober Living Community for Men,MEND(Mental & Emotional Needs Development),$82027.00,355,24,19,224,350,174,0,97,186,71,210,8,8,8,8,11,136,62,285,0,31,7,58,83,87,12,76,50,39,39,3,41,83,81,1,52,84,74,23,26,48,76,1074,527,55,411,518,90,459,436,165,4,9,0,0,1,410,120,544,92,977,41,0,253,386,421,3,10,0,1
"The Salvation Army, A Georgia Corporation",Emergency Assistance Program,$58798.00,168,30,10,66,108,68,4,25,116,27,140,2,3,5,5,8,75,96,76,0,42,38,10,19,19,47,48,76,6,79,30,54,89,74,28,17,10,81,20,38,38,35,898,244,400,32,343,123,646,189,50,12,0,0,0,1,594,208,96,249,246,563,0,519,289,11,23,7,3,46
Two Bikes,The Bike School,$52019.00,218,25,0,195,73,93,5,210,167,26,1,4,1,9,0,15,24,74,153,0,55,83,32,92,32,83,70,86,6,91,33,55,70,69,71,45,36,29,43,13,60,40,1194,1139,189,384,532,89,364,636,25,52,43,16,41,17,33,795,366,328,44,940,0,370,64,556,76,30,7,91
Wesley House Community Center,Wesley House Community Center’s expanding childcare and addressing food insecurity,$67130.00,165,11,6,76,121,112,6,151,4,62,22,9,8,9,5,11,8,149,7,0,31,58,99,63,2,65,37,9,84,46,26,93,58,54,99,54,42,13,13,37,23,27,1033,820,83,20,214,716,376,406,145,53,44,5,3,1,543,67,423,203,676,246,0,498,513,19,1,1,0,1
