Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$99713.00,321,35,16,267,94,129,0,184,246,176,145,6,3,1,1,5,60,275,199,0,98,83,20,36,0,19,0,45,48,0,56,91,35,76,52,81,19,5,60,45,33,32,934,353,294,113,239,288,493,187,96,25,31,94,4,4,224,434,276,96,802,99,0,116,481,262,42,7,7,19
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$93607.00,241,17,13,170,180,77,5,191,174,76,98,0,9,8,0,2,1,178,4,0,79,97,32,74,66,9,74,76,37,37,76,56,53,58,47,97,29,76,85,60,2,53,1273,588,485,618,135,35,818,272,138,26,3,10,0,6,142,344,787,92,43,321,817,956,46,221,11,6,7,26
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$64953.00,466,15,11,148,14,308,6,381,398,317,32,1,6,9,6,1,216,158,413,0,20,63,77,51,52,5,29,67,10,34,38,41,36,80,36,99,79,86,53,44,44,28,1072,478,157,360,119,436,548,111,8,362,26,5,3,9,569,218,285,415,582,10,65,825,104,111,27,0,4,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$61688.00,307,8,5,181,19,272,2,71,217,100,42,1,8,4,0,0,48,140,231,0,70,62,77,55,46,37,92,42,68,95,51,73,70,53,20,5,9,10,85,33,20,81,1154,153,95,340,351,368,228,358,123,376,48,12,7,2,539,522,93,517,367,481,0,548,545,25,17,13,3,3
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$30655.00,230,14,1,107,143,79,2,87,31,142,158,1,4,4,5,16,97,126,92,0,4,23,68,3,1,95,60,63,61,35,31,39,65,81,50,76,96,23,94,62,1,8,1039,545,370,227,433,9,549,78,119,283,4,3,0,3,762,239,38,136,334,381,188,537,197,155,138,11,0,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$55821.00,405,16,23,277,339,157,1,320,153,378,393,6,9,6,2,9,89,201,164,0,20,92,64,72,43,76,91,78,77,71,45,13,41,93,27,68,53,74,95,1,82,42,1318,910,32,597,574,115,315,159,713,103,0,14,0,14,954,237,127,258,521,408,131,913,286,26,74,10,6,3
Fostering Hope,Back 2 School Event,$95035.00,360,21,0,159,225,104,3,347,151,146,122,8,2,6,6,6,85,209,206,0,60,30,5,69,8,91,6,38,92,67,89,68,48,2,93,68,75,30,56,87,76,42,1200,279,43,356,300,501,1153,1,4,8,19,6,5,4,1005,141,54,431,638,284,0,529,186,13,383,49,10,30
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$87553.00,264,6,10,140,228,244,6,232,84,244,59,5,1,5,9,6,127,179,180,0,93,84,72,25,98,36,23,20,90,45,56,91,45,34,98,36,47,2,82,79,31,1,1188,982,593,440,528,0,1049,96,23,11,1,7,0,1,149,230,809,181,4,38,965,1145,35,5,1,0,0,2
"Girl Talk, Inc.",Safe & Healing Spaces,$48619.00,49,42,20,31,12,11,0,28,42,10,20,9,6,6,8,12,9,5,10,0,20,69,61,61,7,37,96,44,55,70,72,84,31,6,59,13,73,61,54,77,72,93,1215,23,74,226,362,553,208,206,285,22,157,263,57,17,1192,2,21,445,716,375,0,412,142,559,98,3,0,1
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$94168.00,451,2,8,337,433,208,0,358,183,252,116,5,3,9,3,16,40,423,104,0,58,34,19,78,28,22,51,48,2,6,25,97,16,12,65,52,39,12,26,46,20,77,833,578,58,235,378,162,655,165,2,5,5,0,0,1,379,313,141,314,482,164,0,125,469,201,11,13,13,1
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$33833.00,411,39,15,218,389,269,6,128,100,309,69,1,4,3,7,9,200,204,395,0,5,97,40,52,10,8,30,8,94,58,39,31,39,3,94,20,41,45,58,41,67,13,893,179,106,62,43,682,298,189,338,28,34,2,2,2,663,214,16,24,699,150,20,838,50,2,0,1,0,2
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$45573.00,237,27,3,193,128,163,0,75,34,134,19,7,1,6,8,10,114,199,66,0,47,81,43,72,66,35,47,79,85,26,14,47,69,99,4,13,53,33,56,67,68,0,1104,258,424,284,120,276,1076,15,10,0,2,0,0,1,1098,4,2,150,473,237,244,90,23,764,155,41,15,16
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$75522.00,130,2,16,88,91,23,4,92,32,65,54,3,2,9,2,6,9,49,51,0,95,19,95,29,53,42,90,22,52,83,49,44,30,35,46,54,59,22,23,94,83,83,1202,1183,445,204,315,238,336,557,263,9,14,7,0,16,38,1002,162,285,717,257,0,568,300,271,28,22,2,11
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$20361.00,253,1,9,182,41,158,8,232,33,202,240,1,0,7,8,11,83,241,25,0,3,86,28,45,89,44,59,1,85,96,28,96,91,75,62,71,86,41,45,25,68,93,1317,610,222,371,558,166,1265,12,29,7,2,1,0,1,1231,1,85,176,648,545,0,865,36,50,52,182,90,42
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$18621.00,289,46,11,268,17,14,9,53,143,245,281,8,2,1,6,15,34,62,260,0,37,81,69,52,99,11,43,85,50,22,70,28,37,39,82,81,65,76,4,36,69,62,1198,660,283,455,396,64,1137,53,1,1,0,1,0,5,596,22,580,498,634,478,0,243,579,130,203,31,3,9
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$46736.00,118,40,2,29,83,17,9,63,63,53,27,5,9,1,2,12,8,35,4,0,25,85,1,64,97,53,30,31,74,83,10,42,24,79,57,73,58,38,83,31,61,54,1153,910,18,375,140,620,516,404,73,155,3,0,1,1,145,443,565,509,420,260,0,553,64,142,295,46,41,12
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$14356.00,442,14,16,166,281,144,0,411,86,262,294,4,4,6,5,0,0,32,329,0,39,6,85,29,29,17,55,44,36,84,16,81,38,83,10,85,27,96,74,11,67,53,1065,685,299,247,461,58,645,116,257,24,16,3,3,1,901,153,11,440,29,329,267,223,283,395,30,90,24,20
Knoxville Internationals Network-KIN,ELL Summer Camp,$1121.00,234,28,10,13,92,164,2,207,58,1,58,7,2,4,9,1,109,110,170,0,9,52,45,32,43,67,43,76,79,93,24,65,11,92,4,84,66,64,64,61,17,63,1154,928,238,21,33,862,629,113,28,354,0,20,2,8,867,5,282,500,150,603,0,851,180,70,49,1,1,2
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$40237.00,254,6,2,228,10,214,0,50,67,151,135,6,7,9,7,9,114,146,111,0,35,86,36,58,25,64,94,74,21,1,18,0,99,73,93,20,30,83,56,50,13,87,1116,867,335,310,333,138,356,519,125,110,2,0,1,3,620,215,281,297,211,344,264,992,76,27,17,1,0,3
Legal Aid of East Tennessee,Mental Health Law Partnership,$99097.00,359,32,2,185,135,244,3,39,232,128,161,4,7,2,3,14,35,103,236,0,67,72,25,80,42,18,76,26,17,83,90,42,69,17,32,0,29,11,65,91,74,92,1118,225,253,520,288,57,483,558,32,32,10,1,0,2,338,138,642,150,338,665,0,1047,42,21,3,3,0,2
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$57241.00,106,23,0,13,6,9,3,28,98,8,8,6,8,4,3,4,3,98,44,0,14,56,19,93,59,54,50,96,86,72,62,33,53,4,36,43,93,46,59,66,66,38,1198,324,435,234,596,0,992,122,29,32,22,0,0,1,276,435,487,569,154,97,378,1010,37,76,45,11,3,16
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$6055.00,161,12,16,85,116,87,8,45,14,66,70,5,8,9,0,17,71,133,129,0,24,75,3,69,34,47,46,42,81,39,81,96,50,33,31,38,74,65,97,64,38,59,1186,480,307,74,142,663,533,589,54,5,2,1,1,1,101,133,952,364,94,1077,0,395,237,308,148,10,48,40
Mental Health Association of East Tennessee,Treatment Access Bank,$50017.00,233,42,17,179,185,139,0,200,217,223,67,1,5,1,3,14,44,222,172,0,35,31,38,44,77,33,14,49,67,40,10,8,11,43,27,12,75,0,74,33,64,94,879,3,53,434,105,287,44,111,277,442,1,3,0,1,218,124,537,253,162,555,0,660,214,3,1,0,0,1
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$99681.00,70,34,10,36,50,26,7,66,8,9,49,0,9,2,4,1,13,23,38,0,85,76,37,79,45,83,88,13,41,69,60,79,97,93,57,51,0,96,8,52,36,44,1289,1191,416,545,6,322,236,684,55,120,111,63,13,7,205,107,977,412,395,73,409,222,595,277,146,3,15,31
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$5175.00,429,18,8,113,125,379,6,51,211,271,52,2,2,7,6,12,113,162,200,0,8,47,69,50,88,89,6,77,7,71,80,95,92,51,26,41,25,79,76,65,8,83,1233,647,580,510,210,0,118,627,212,69,68,127,9,3,88,142,1003,351,714,317,0,267,886,5,36,17,4,18
