Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$34011.00,84,35,9,16,27,40,4,4,9,5,75,7,1,3,1,19,16,71,82,0,56,63,25,61,87,46,6,2,39,38,25,92,43,69,40,95,2,90,60,85,69,98,1191,263,215,221,379,376,914,172,46,13,31,6,0,9,264,147,780,455,308,177,251,366,253,410,62,33,16,51
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$42899.00,118,39,13,97,20,73,6,8,41,55,32,2,9,4,1,7,17,41,114,0,88,81,73,61,54,65,29,99,84,24,55,70,21,41,67,29,35,49,23,91,69,0,1208,218,116,254,387,451,128,620,289,156,11,3,0,1,960,123,125,76,884,232,16,579,107,425,94,1,1,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$59553.00,151,31,10,3,12,142,6,85,50,90,2,6,0,3,9,1,44,12,133,0,94,99,92,2,33,5,57,47,63,40,47,73,60,16,20,84,33,96,23,71,61,50,1166,553,542,35,311,278,34,994,56,79,1,0,0,2,35,630,501,61,1037,83,0,618,375,94,66,10,2,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$75207.00,48,15,7,31,23,1,1,34,20,0,29,0,6,8,2,6,11,41,31,0,87,19,21,4,64,68,64,31,25,81,43,19,57,4,33,17,30,31,56,73,8,99,934,654,175,57,102,600,541,386,3,2,0,1,0,1,811,112,11,231,664,163,0,720,105,70,38,0,0,1
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$57907.00,49,2,4,42,9,20,0,43,6,10,28,9,9,0,0,14,8,9,15,0,70,56,16,21,64,42,41,50,97,85,26,31,79,57,28,52,72,3,16,19,89,89,1103,951,65,291,390,357,894,122,49,15,1,4,6,12,202,178,723,413,298,326,66,845,30,194,8,5,20,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$88770.00,329,31,12,131,293,146,1,313,168,304,23,5,0,6,2,1,113,192,13,0,97,84,82,67,5,54,15,22,96,76,74,77,75,25,44,24,4,3,68,38,33,88,1151,589,202,409,360,180,956,21,136,2,32,1,0,3,840,274,37,77,83,1063,0,815,292,14,6,18,1,5
Fostering Hope,Back 2 School Event,$58581.00,322,23,18,83,232,229,0,231,9,312,74,6,7,2,5,11,33,129,112,0,11,36,88,8,0,67,68,90,38,49,86,10,96,37,88,0,49,95,52,71,21,21,1081,809,329,315,382,55,638,215,75,3,122,16,10,2,426,571,84,277,794,97,0,919,93,53,6,1,7,2
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$11161.00,38,14,18,32,32,14,2,24,20,20,11,7,0,9,9,13,11,10,33,0,67,90,49,95,33,93,77,52,53,98,82,19,78,47,58,1,78,29,97,21,45,40,1302,879,80,43,376,803,153,42,859,222,9,9,3,5,58,1135,109,77,845,290,90,487,710,76,18,4,3,4
"Girl Talk, Inc.",Safe & Healing Spaces,$15861.00,229,44,18,96,33,187,6,189,214,228,51,5,2,2,8,18,97,186,13,0,52,68,80,84,53,89,26,1,88,28,81,30,11,45,77,38,3,82,6,16,55,70,1083,271,122,343,181,437,696,231,48,99,2,0,4,3,125,782,176,445,125,109,404,354,552,11,164,0,0,2
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$17014.00,424,19,3,0,358,5,2,321,262,325,215,8,5,4,0,8,53,304,157,0,73,10,70,3,64,90,31,88,4,18,80,16,29,10,27,69,91,33,53,3,64,55,981,131,376,313,34,258,440,497,5,20,13,5,0,1,532,419,30,446,256,710,0,12,282,421,109,63,31,63
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$12591.00,282,39,8,78,87,79,0,142,228,140,255,2,7,4,5,2,122,262,16,0,73,25,52,4,60,86,2,66,50,37,40,78,30,50,65,13,15,58,49,37,50,10,950,937,309,402,343,0,303,581,27,16,22,0,0,1,10,85,855,435,356,155,4,796,69,16,19,12,12,26
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$97116.00,90,39,16,42,83,45,2,20,12,72,45,7,2,1,7,2,38,39,46,0,94,53,38,53,96,17,62,54,33,57,48,88,63,9,75,92,97,16,54,96,7,61,1263,778,98,529,205,431,843,24,116,243,32,0,3,2,771,226,266,27,1069,75,92,558,79,261,313,47,3,2
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$10373.00,360,40,23,58,323,319,5,53,234,191,65,4,8,5,6,1,79,189,131,0,85,69,90,37,79,16,21,58,89,67,16,65,20,3,35,94,25,44,33,59,7,1,1013,201,44,326,172,471,993,10,4,3,2,0,0,1,104,745,164,407,177,519,0,716,147,90,3,11,15,31
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$97208.00,109,4,13,77,88,93,4,23,75,86,61,8,8,1,4,12,7,27,105,0,13,87,39,76,49,49,31,97,63,88,43,71,32,57,27,88,6,10,57,98,44,59,1184,734,499,58,352,275,247,381,367,84,41,13,36,15,373,70,741,12,87,105,980,184,944,8,43,0,4,1
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$24156.00,216,16,14,147,189,177,1,155,163,110,194,3,2,2,2,3,57,107,103,0,64,51,63,22,49,37,17,20,29,93,40,78,51,58,92,99,45,47,13,68,86,35,1157,541,238,7,224,688,396,609,123,25,0,3,0,1,9,601,547,547,220,273,117,607,146,337,66,0,0,1
