Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$15112.00,308,31,2,38,195,119,5,33,281,244,133,2,4,0,9,6,132,289,209,0,66,97,67,7,96,50,60,27,15,73,78,31,35,7,26,96,78,15,64,20,48,0,1056,490,450,129,481,0,4,547,275,203,3,8,5,11,278,122,656,16,229,746,65,418,397,33,201,1,4,2
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$8590.00,79,47,17,49,3,23,4,41,64,10,45,4,3,1,5,16,26,48,48,0,22,72,99,64,88,61,96,11,7,18,82,97,97,90,42,93,6,63,46,56,44,36,1290,212,108,350,152,680,39,193,245,131,208,156,124,194,181,717,392,335,687,207,61,675,580,17,9,8,0,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$95557.00,253,47,0,57,49,134,6,222,121,222,167,3,4,0,4,9,25,23,18,0,78,39,70,89,94,8,64,64,53,66,46,33,78,99,36,93,40,88,56,12,52,73,1331,303,290,196,524,321,729,164,375,50,12,0,0,1,972,236,123,410,10,1068,0,29,1010,41,90,116,12,33
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$41378.00,411,27,0,117,278,40,0,219,265,35,336,0,9,7,3,4,63,34,134,0,87,83,11,94,45,29,81,18,56,22,89,91,41,50,63,53,50,61,2,54,32,93,1205,236,239,516,397,53,235,169,91,302,40,253,37,78,143,878,184,406,27,984,0,1059,134,6,1,0,4,1
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$49633.00,126,32,22,95,1,40,0,101,107,99,43,3,9,3,0,4,18,88,14,0,68,28,96,31,88,40,24,54,84,14,86,61,38,73,74,12,24,18,33,1,66,60,1073,53,505,340,183,45,370,551,69,35,37,5,5,1,818,148,107,384,145,8,536,365,125,64,13,45,272,189
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$93555.00,278,28,11,184,125,80,5,76,116,131,50,0,3,5,0,17,82,158,36,0,74,85,21,33,23,89,19,85,54,10,79,87,69,52,63,34,35,19,89,63,42,52,1177,338,328,389,558,0,737,155,78,154,2,49,0,2,986,127,64,463,75,1079,0,202,511,414,46,1,1,2
Fostering Hope,Back 2 School Event,$72191.00,305,24,5,55,14,218,3,278,210,239,64,3,0,7,3,0,96,301,259,0,81,56,58,63,39,67,63,48,31,18,20,7,41,29,65,69,85,23,67,76,69,74,1149,267,315,205,507,122,818,298,18,11,1,1,1,1,834,39,276,44,220,548,337,425,593,0,123,7,0,1
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$7687.00,112,17,4,66,97,71,2,76,29,31,6,8,5,4,2,3,15,24,23,0,63,92,28,13,98,43,7,61,92,66,89,92,7,44,59,70,32,64,58,13,5,4,1100,655,332,157,337,274,222,518,142,21,111,39,26,21,192,429,479,168,662,323,0,280,128,505,103,69,3,12
"Girl Talk, Inc.",Safe & Healing Spaces,$18585.00,210,44,9,64,116,149,9,194,113,119,194,3,6,1,0,14,102,197,201,0,93,53,64,21,78,25,72,49,97,43,10,65,19,36,35,95,53,14,45,41,99,34,1141,311,505,408,251,0,800,16,51,115,25,13,33,88,68,811,262,536,553,190,0,828,209,20,47,35,0,2
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$54056.00,249,43,8,91,91,69,4,122,121,214,138,0,5,9,3,17,83,165,169,0,76,71,81,30,61,11,87,46,94,92,39,53,2,26,83,30,58,43,80,82,77,50,1272,759,220,469,126,457,687,160,73,113,5,104,78,52,9,413,850,361,76,268,567,1141,103,12,11,3,0,2
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$18468.00,83,5,13,16,57,29,9,26,71,39,63,7,2,4,8,15,8,50,21,0,13,2,13,79,43,53,93,82,70,12,22,41,44,88,27,33,69,23,64,77,22,92,1062,244,325,496,485,0,903,23,28,53,32,11,3,9,79,705,278,335,309,465,0,1006,0,2,40,0,10,4
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$681.00,46,22,21,23,4,23,2,16,11,19,21,3,1,2,9,8,9,35,30,0,40,87,80,0,23,35,63,59,17,94,73,18,34,28,98,84,89,96,67,40,71,35,1231,165,78,222,524,407,1114,76,7,30,2,1,0,1,150,1077,4,227,983,68,0,714,498,10,5,2,1,1
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$46452.00,375,44,17,121,219,299,7,155,280,106,52,9,1,9,7,0,186,32,318,0,91,76,30,98,45,67,69,38,31,0,17,89,17,40,4,75,32,59,64,42,54,59,1097,853,382,191,324,200,411,105,287,118,66,37,41,32,711,173,213,446,377,323,0,174,107,568,141,37,57,13
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$60608.00,350,25,1,207,18,158,9,49,91,171,178,5,7,2,0,17,140,32,297,0,28,91,24,0,53,17,27,14,24,73,25,97,30,69,39,15,87,31,14,0,59,95,912,814,48,27,98,739,218,111,38,521,6,11,3,4,886,14,12,445,256,225,0,133,481,123,30,2,4,139
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$29002.00,141,4,9,22,123,47,4,90,134,53,39,0,5,2,1,4,50,125,17,0,13,53,61,33,25,95,87,36,85,65,58,48,28,39,57,34,23,34,74,45,85,19,1097,300,119,161,88,729,634,268,49,78,23,16,10,19,306,30,761,172,194,315,416,1095,0,1,0,0,0,1
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$6573.00,25,28,4,10,0,23,1,14,19,19,19,0,8,4,2,6,4,0,12,0,4,95,43,36,30,75,87,71,68,36,0,48,67,50,21,9,53,30,6,36,50,55,970,134,53,80,436,401,120,367,347,5,37,88,0,6,25,938,7,190,75,200,505,125,562,79,126,50,3,25
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$40471.00,72,7,21,20,56,62,5,41,23,60,9,2,5,7,9,17,15,43,27,0,41,87,55,50,9,27,64,17,64,12,11,91,25,80,26,47,62,0,29,16,76,94,983,1,163,343,69,408,304,181,170,65,125,105,19,14,872,58,53,77,451,11,444,278,399,185,30,83,4,4
Knoxville Internationals Network-KIN,ELL Summer Camp,$78117.00,2,27,4,0,1,0,3,1,1,0,0,4,7,7,2,6,0,0,0,0,51,16,67,53,34,70,4,54,99,9,11,27,98,19,98,64,45,49,20,97,10,3,998,69,314,264,307,113,595,292,15,28,32,11,18,7,355,117,526,2,613,338,45,872,56,61,4,1,0,4
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$4309.00,303,34,7,255,248,256,0,257,257,92,224,5,9,0,3,2,36,22,97,0,40,63,46,10,69,24,56,64,90,37,60,24,56,13,84,68,3,14,67,42,75,5,1010,526,242,38,458,272,861,91,38,2,10,5,0,3,322,415,273,421,563,20,6,587,70,136,212,0,0,5
Legal Aid of East Tennessee,Mental Health Law Partnership,$72434.00,215,5,20,5,54,183,0,111,71,181,147,5,0,5,3,13,105,155,65,0,70,24,21,86,41,17,32,39,86,27,50,48,49,71,31,41,64,7,47,20,30,56,957,14,370,53,404,130,819,32,1,57,42,1,4,1,119,347,491,209,250,317,181,566,342,3,3,8,20,15
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$50892.00,289,15,23,153,6,201,4,32,159,176,287,2,7,3,7,15,12,114,90,0,27,72,64,79,99,93,70,74,20,38,24,56,41,34,41,82,73,81,54,17,59,68,1266,953,579,91,261,335,204,1016,21,16,6,2,0,1,1223,25,18,102,377,342,445,977,220,34,6,17,4,8
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$95362.00,33,16,10,4,28,9,6,23,18,16,26,4,2,0,9,13,8,30,27,0,51,19,10,41,8,42,3,19,36,41,18,88,94,8,87,53,37,70,11,14,58,14,822,134,51,166,55,550,233,562,1,9,11,3,2,1,125,625,72,149,131,312,230,505,17,270,9,6,7,8
Mental Health Association of East Tennessee,Treatment Access Bank,$35050.00,64,35,15,38,56,8,7,35,8,37,32,0,9,2,0,11,17,14,38,0,3,34,92,2,37,19,75,13,66,43,9,86,64,87,35,91,42,65,71,53,14,75,1076,1040,343,71,67,595,115,73,552,87,200,45,0,4,320,157,599,298,671,311,0,987,34,45,0,0,0,10
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$52519.00,330,4,2,144,293,116,6,147,178,12,228,1,7,6,4,11,36,28,258,0,69,53,2,94,11,98,91,67,55,3,92,83,63,15,72,57,89,56,82,54,67,86,1359,638,311,55,658,335,320,741,81,68,32,37,55,25,1133,14,212,171,53,302,833,584,298,306,146,19,4,2
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$4570.00,54,13,14,41,19,10,5,12,48,18,36,3,6,6,8,15,12,44,52,0,42,24,20,43,76,28,31,18,42,59,29,85,3,22,9,67,68,22,0,23,79,2,792,391,266,161,130,235,569,161,36,19,6,0,0,1,458,179,155,54,634,152,0,24,138,589,33,3,0,5
