Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$22172.00,159,7,23,94,51,148,1,114,54,113,24,5,1,5,7,19,45,16,139,0,66,25,89,34,76,71,72,71,48,22,4,11,15,41,47,22,34,42,38,85,86,12,1011,563,376,403,116,116,128,256,155,157,109,8,157,41,598,7,406,463,427,141,0,779,212,0,14,1,0,5
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$76805.00,392,10,19,154,59,307,5,185,257,130,280,8,1,8,5,5,28,319,4,0,82,44,32,53,39,99,21,63,53,22,35,34,66,44,10,47,79,44,38,37,89,86,1117,620,542,329,231,15,78,408,538,50,11,5,3,24,642,365,110,549,141,513,0,514,316,259,12,10,4,2
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$713.00,292,47,15,114,129,14,6,213,91,243,195,2,3,2,4,3,119,88,153,0,83,36,67,74,36,27,0,27,0,89,71,80,25,71,67,47,75,20,1,43,91,96,1126,148,251,160,147,568,661,58,143,4,144,64,37,15,614,265,247,386,582,170,0,476,458,50,51,85,5,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$32121.00,83,13,16,28,62,11,4,57,9,48,58,6,4,9,2,16,6,21,53,0,69,40,50,25,46,52,94,94,72,97,29,33,88,91,45,41,85,74,66,64,9,83,1347,293,131,299,29,888,445,483,47,170,164,1,13,24,215,149,983,171,1097,88,0,306,117,331,190,138,142,123
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$40539.00,55,28,12,38,34,49,5,14,20,33,17,1,8,8,9,4,3,6,32,0,88,16,10,86,0,71,0,94,75,72,14,74,58,66,87,9,18,68,20,44,49,19,1038,273,268,101,95,574,81,930,17,0,4,4,1,1,88,404,546,31,731,245,31,192,687,67,17,74,0,1
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$83584.00,491,0,18,145,80,87,9,42,438,122,183,0,4,7,1,10,156,191,76,0,72,94,21,50,15,9,92,56,32,25,24,73,29,98,65,92,24,89,36,60,69,66,1191,509,374,496,362,0,695,271,159,51,10,0,2,3,523,408,260,485,456,276,0,573,598,4,14,0,0,2
Fostering Hope,Back 2 School Event,$88316.00,86,34,15,71,5,47,9,52,20,13,14,0,0,7,2,12,5,32,30,0,79,66,61,52,65,88,39,55,67,29,80,84,80,44,39,41,36,25,99,26,70,59,1284,813,404,634,6,240,923,182,177,1,0,0,0,1,225,813,246,253,118,1119,0,285,392,20,302,144,7,134
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$75071.00,285,35,14,46,56,122,7,117,76,6,98,5,7,9,9,5,135,206,102,0,37,20,52,35,36,32,45,89,55,25,70,45,26,9,21,81,36,71,94,74,79,96,1128,220,45,110,369,604,34,38,500,522,16,5,12,1,293,490,345,454,158,53,463,1002,51,20,48,1,4,2
"Girl Talk, Inc.",Safe & Healing Spaces,$81596.00,363,33,14,18,204,305,7,74,300,348,287,8,1,7,9,13,176,55,341,0,50,22,76,23,51,58,18,71,34,23,31,79,27,50,20,48,50,31,12,41,26,1,842,561,31,53,384,374,831,0,6,4,0,0,0,1,722,54,66,381,442,373,0,686,125,16,3,1,3,8
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$84645.00,87,8,24,14,83,2,7,33,34,30,46,2,1,6,5,17,26,24,14,0,47,67,64,80,95,3,22,22,7,17,72,80,94,16,9,16,64,25,14,99,55,56,1024,705,251,454,37,282,792,30,82,29,56,16,15,4,6,477,541,108,728,256,0,34,739,208,41,1,0,1
