Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$60908.00,1,16,10,0,0,0,2,0,0,0,0,4,4,8,4,14,0,0,0,0,64,31,95,89,16,14,37,48,69,36,17,32,2,2,47,24,8,29,66,89,96,35,946,59,120,99,195,532,556,323,10,15,6,23,2,11,355,208,383,342,329,78,197,559,24,49,225,26,50,13
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$16690.00,41,24,7,6,40,17,7,29,7,7,13,6,3,4,1,16,0,24,31,0,22,95,83,58,75,30,26,82,41,48,87,16,74,84,71,60,71,3,53,26,47,62,1214,949,545,177,64,428,728,172,211,47,30,12,3,11,99,646,469,91,1120,12,0,866,171,18,33,19,20,87
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$79436.00,342,36,14,31,271,285,8,283,181,34,226,3,5,6,5,13,8,83,14,0,70,74,38,33,6,65,8,61,99,18,32,80,89,56,42,43,95,89,95,44,18,20,1175,688,482,353,101,239,577,69,255,169,57,45,1,2,1149,9,17,262,63,952,0,626,281,4,92,99,53,20
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$2430.00,21,7,9,10,0,9,3,5,6,4,11,2,8,3,8,6,7,17,18,0,79,2,76,4,65,3,51,36,97,66,69,40,33,22,44,62,86,97,26,43,85,22,1108,679,327,477,536,0,1045,3,3,54,2,0,0,1,577,137,394,64,134,752,158,323,153,290,244,38,57,3
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$87355.00,299,11,13,59,6,230,7,61,42,276,118,6,8,6,8,0,114,12,184,0,93,52,0,7,58,64,26,1,19,3,74,87,57,70,83,82,44,65,92,96,84,84,1241,1051,424,360,499,0,15,123,136,827,21,17,51,51,40,600,601,413,348,790,0,32,1042,56,63,23,1,24
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$57909.00,226,37,4,150,2,108,9,9,178,184,113,2,0,8,7,16,95,109,94,0,70,99,34,74,40,91,61,6,65,52,38,73,20,69,39,72,15,75,6,23,54,77,1153,1126,408,459,368,0,963,134,38,8,4,1,1,4,134,270,749,486,401,6,260,181,567,257,135,5,1,7
Fostering Hope,Back 2 School Event,$45543.00,302,18,6,40,183,185,3,156,180,131,215,8,7,1,6,6,34,144,157,0,24,72,60,33,2,14,48,81,13,26,95,14,78,74,3,84,63,27,78,88,73,93,1143,278,99,88,83,873,511,404,129,0,6,25,29,39,824,183,136,188,858,265,0,960,123,0,22,24,4,10
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$52143.00,36,28,1,16,17,9,1,15,13,14,33,5,2,0,2,18,14,7,8,0,83,9,1,57,84,28,16,61,25,95,15,74,26,76,79,63,97,5,13,58,98,31,1094,610,408,137,220,329,783,153,73,80,2,1,1,1,942,61,91,280,420,468,0,814,35,50,178,11,3,3
"Girl Talk, Inc.",Safe & Healing Spaces,$99111.00,72,28,4,34,50,41,4,55,38,7,56,3,4,4,4,5,10,52,40,0,78,74,53,11,41,99,79,68,39,80,99,23,21,81,73,56,70,0,14,41,56,30,1186,749,590,304,192,100,193,450,415,113,4,3,1,7,580,356,250,138,680,262,106,1037,7,9,60,24,25,24
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$85137.00,416,31,6,199,146,203,6,334,107,394,278,7,1,4,6,0,184,89,221,0,93,18,48,1,59,34,52,29,8,6,75,55,78,32,24,76,49,51,94,85,9,77,1053,185,461,311,402,0,152,208,572,2,32,62,19,6,542,499,12,176,704,104,69,907,118,18,2,6,1,1
