Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$54395.00,177,2,10,170,173,13,2,121,19,80,106,2,4,0,0,6,29,69,167,0,85,19,75,88,6,73,20,75,35,31,82,7,90,70,70,23,31,52,32,47,31,86,1128,525,283,217,77,551,1030,76,15,2,0,2,1,2,513,27,588,470,200,424,34,930,84,29,61,14,5,5
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$80453.00,74,40,12,49,17,5,2,27,63,50,41,0,9,5,4,3,29,52,62,0,44,26,13,11,33,35,63,75,75,69,41,54,79,72,21,23,68,31,71,61,76,63,1104,395,211,155,51,687,606,156,35,131,21,128,20,7,866,12,226,441,187,155,321,981,51,10,14,40,5,3
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$45959.00,224,26,15,28,162,98,9,98,97,67,185,6,2,7,8,12,56,100,167,0,27,79,44,19,31,15,69,65,56,46,34,65,30,87,17,17,64,29,50,18,98,86,1046,88,387,415,57,187,116,280,341,183,39,25,16,46,9,52,985,42,872,5,127,662,319,0,57,3,4,1
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$83968.00,292,24,11,188,210,193,4,35,170,17,262,0,4,2,1,13,62,0,5,0,67,85,99,51,33,8,1,12,60,16,13,75,54,15,78,50,71,9,89,21,66,86,1059,1027,118,370,105,466,162,408,472,4,11,0,1,1,408,254,397,225,242,143,449,655,93,141,141,23,5,1
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$33397.00,254,0,18,138,220,48,1,119,38,251,207,8,5,0,9,1,113,163,141,0,75,3,94,41,2,91,53,18,86,40,24,18,25,5,87,49,77,12,15,64,20,20,919,440,28,8,385,498,579,17,171,60,45,30,0,17,9,887,23,412,23,328,156,362,328,178,19,15,9,8
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$86173.00,280,41,9,40,21,105,7,22,19,73,241,3,3,1,1,7,106,277,218,0,90,30,17,17,13,24,44,73,79,47,31,76,49,20,86,37,0,23,86,83,92,24,1041,352,137,362,374,168,106,112,387,279,78,61,6,12,563,439,39,335,9,947,0,194,55,356,246,19,107,64
Fostering Hope,Back 2 School Event,$99307.00,400,29,22,9,13,166,1,378,129,352,188,8,7,5,7,15,69,94,156,0,91,82,12,56,58,26,51,65,96,98,71,49,83,33,10,37,19,19,85,65,91,10,1207,774,550,441,94,122,492,698,14,2,0,0,0,1,509,665,33,232,115,762,98,770,279,49,84,8,0,17
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$98717.00,474,5,20,354,239,187,2,282,252,453,60,3,7,2,9,2,176,460,134,0,67,46,85,19,62,20,74,52,30,57,57,71,66,62,41,0,4,7,2,41,79,97,1039,16,260,506,507,0,115,730,21,48,76,31,8,10,510,13,516,28,896,74,41,236,744,43,8,7,0,1
"Girl Talk, Inc.",Safe & Healing Spaces,$40030.00,433,27,5,139,389,47,2,278,264,161,99,4,3,8,1,16,78,18,307,0,12,64,28,41,97,94,63,85,68,52,90,96,41,16,11,17,69,35,93,25,77,82,1256,918,484,54,526,192,1176,68,10,0,0,1,0,1,886,308,62,79,888,196,93,1171,20,40,1,8,5,11
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$96325.00,399,24,14,268,240,138,0,369,83,243,171,2,3,9,1,19,11,18,224,0,37,72,2,24,51,13,51,57,46,65,93,24,27,17,3,22,81,68,93,63,12,48,969,263,338,214,60,357,640,79,91,55,90,11,0,3,956,4,9,430,223,453,0,377,255,31,173,53,79,1
