Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
A 1 Learning Connections,Serving in the Midst of a Storm,$67641.00,1,46,7,0,0,0,9,0,0,0,0,8,3,8,1,16,0,0,0,0,86,18,90,63,96,95,54,79,48,2,38,78,68,24,36,6,16,44,67,53,90,90,1241,996,466,534,174,67,776,107,198,12,138,6,0,4,194,1016,31,501,493,299,0,1051,69,92,8,18,0,3
Boys & Girls Clubs of the Tennessee Valley,Boys & Girls Clubs of the Tennessee Valley's MESH (Member Emotional and Social Health) Program,$96833.00,496,34,0,432,452,168,0,131,58,3,200,0,3,0,4,15,188,196,181,0,38,92,32,15,42,46,30,66,50,99,95,74,26,51,37,71,29,92,89,23,89,33,1219,456,88,506,413,212,731,389,24,54,12,3,0,6,438,405,376,591,355,630,0,226,953,16,19,3,1,1
"Bridge Refugee Services, Inc.",Refugee Emergency Supplemental Nutritional Assistance Program (RESNAP),$29272.00,467,13,19,279,216,163,6,282,312,251,294,6,5,7,5,4,136,290,340,0,32,65,55,82,97,52,97,64,30,65,18,35,60,93,97,52,89,29,91,28,30,87,1348,350,492,181,197,478,38,615,238,376,34,42,4,1,15,991,342,361,179,687,121,1301,8,18,8,5,3,5
Centro Hispano de East Tennessee,Knox Area Latino Food Insecurity Safety Net,$89092.00,457,29,9,361,120,193,8,150,162,391,43,0,4,4,9,18,9,15,176,0,25,11,81,50,24,79,31,56,66,69,9,60,10,18,71,67,24,72,88,46,75,25,1057,524,314,64,56,623,847,53,82,53,5,13,0,4,205,782,70,505,381,425,0,750,172,43,42,41,4,5
Centro Hispano de East Tennessee,Knox Area Latino Mental Health Support,$72321.00,414,48,11,92,114,166,2,262,120,410,252,3,0,5,3,19,202,25,399,0,63,22,3,69,95,47,83,54,5,74,70,65,30,67,78,56,41,56,33,2,2,78,1093,96,314,347,355,77,176,156,72,512,89,75,5,8,768,192,133,288,790,295,0,890,74,109,14,2,1,3
Centro Hispano de East Tennessee,ARPA’s Rental Assistance for Latinx Households,$28727.00,110,40,21,86,27,90,1,58,49,91,95,0,9,8,5,9,9,93,56,0,82,30,24,64,7,24,72,64,19,64,8,1,64,86,33,22,4,0,10,45,88,86,897,587,430,232,205,30,749,108,33,5,1,0,0,1,636,150,111,318,230,170,179,642,118,42,51,24,13,7
Fostering Hope,Back 2 School Event,$98184.00,57,23,11,51,34,2,1,8,53,49,13,4,4,7,1,5,12,30,53,0,16,91,90,16,66,23,30,64,44,52,90,46,7,72,1,54,27,94,55,91,32,65,1126,240,134,268,69,655,1087,29,2,0,7,0,0,1,514,365,247,379,201,890,0,617,398,84,21,0,3,3
Friends of Tennessee's Babies with Special Needs,Meeting Basic Needs of Families of Young Children with Special Needs,$327.00,295,17,3,248,290,222,9,148,230,214,15,9,8,7,5,6,11,10,243,0,36,0,0,23,11,66,24,49,60,13,13,12,64,58,83,4,63,88,61,64,6,80,878,815,407,331,286,0,200,75,314,216,10,45,7,11,619,80,179,94,635,60,89,134,520,131,1,29,23,40
"Girl Talk, Inc.",Safe & Healing Spaces,$78669.00,274,7,19,0,175,150,4,88,246,122,169,5,9,6,5,15,104,168,105,0,10,5,85,14,27,71,59,67,83,85,37,70,62,35,7,75,96,45,98,68,53,85,1237,400,438,403,26,370,100,680,122,181,97,9,37,11,714,194,329,128,277,312,520,588,72,412,20,83,49,13
Grow Partnership Tennessee,Promoting Unity Understanding through Safety and Health-PUUSH,$64371.00,340,21,9,42,316,178,6,160,328,210,326,7,1,2,8,3,131,236,212,0,48,49,24,48,98,23,62,63,14,66,95,29,6,21,84,1,13,21,63,11,82,62,983,581,262,470,137,114,741,99,38,36,38,10,20,1,133,387,463,88,124,261,510,610,108,170,15,14,16,50
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$93434.00,319,40,6,211,8,119,1,97,266,49,226,5,9,7,7,16,96,39,6,0,53,53,71,89,62,88,69,55,84,7,11,55,57,47,47,15,45,80,36,7,50,21,1102,29,220,299,85,498,618,308,74,26,12,46,1,17,641,170,291,197,209,879,0,32,717,37,233,50,25,8
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$43230.00,101,36,19,62,20,46,3,56,12,67,57,7,7,6,4,17,14,54,66,0,61,20,99,74,36,94,0,48,4,25,48,42,37,55,32,20,36,16,33,57,62,97,996,632,335,206,226,229,289,358,230,46,57,8,6,2,498,478,20,37,52,789,118,811,89,46,39,10,0,1
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$79894.00,162,23,19,149,155,103,9,59,46,57,94,0,9,0,3,3,57,147,72,0,20,20,80,58,85,48,1,12,93,54,6,67,92,97,56,62,55,44,92,58,96,94,1290,101,65,561,602,62,65,819,94,32,222,14,38,6,48,510,732,195,564,224,307,1109,159,10,2,8,0,2
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$70380.00,231,18,23,73,120,171,8,185,18,1,198,0,9,4,0,3,3,89,162,0,91,23,53,98,59,68,71,6,5,17,3,74,37,15,53,44,26,5,42,52,55,76,973,753,154,209,173,437,604,141,163,17,40,2,3,3,257,170,546,149,342,309,173,120,786,16,29,14,2,6
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$84325.00,61,26,21,14,52,10,9,30,12,10,25,7,4,2,8,1,19,42,35,0,23,67,71,87,73,54,12,17,53,73,82,93,58,70,27,6,2,10,25,48,93,39,1083,1012,476,386,241,0,175,463,328,116,0,0,0,1,48,729,306,103,677,348,0,95,963,10,12,1,0,2
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$71014.00,370,18,13,291,333,130,3,318,366,151,89,5,9,9,9,4,81,86,131,0,33,87,15,9,38,9,42,37,47,89,63,98,88,35,19,94,0,77,2,67,67,88,1104,35,436,351,9,308,951,121,29,2,0,0,0,1,628,303,173,266,352,730,0,145,787,25,87,2,55,3
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$27714.00,410,14,17,379,129,250,3,47,159,397,378,4,8,6,4,16,60,326,362,0,8,8,15,24,4,10,53,58,31,95,58,17,33,83,32,11,42,67,81,60,21,18,829,388,263,214,170,182,272,523,7,10,7,8,1,1,324,98,407,91,291,199,248,575,217,28,7,0,0,2
Knoxville Internationals Network-KIN,ELL Summer Camp,$15619.00,98,23,23,49,47,51,1,87,54,40,83,0,3,4,1,3,48,33,48,0,24,16,52,78,15,96,92,76,80,81,66,87,63,95,20,75,4,86,13,93,94,13,1319,878,398,638,318,0,226,857,143,41,5,8,28,11,878,301,140,447,387,305,180,203,606,445,49,1,14,1
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$2049.00,85,14,19,6,38,7,8,72,62,17,71,3,1,7,5,6,6,61,25,0,96,44,95,50,38,41,38,74,45,40,0,84,62,83,57,63,88,92,78,81,56,88,1393,1158,415,103,357,518,1281,25,86,0,0,0,0,1,1360,27,6,15,1044,281,53,1077,108,40,112,0,48,8
Legal Aid of East Tennessee,Mental Health Law Partnership,$66384.00,281,27,6,73,184,93,0,192,135,171,110,3,3,2,8,6,3,11,180,0,79,57,73,46,11,40,78,31,85,7,50,52,22,77,51,34,63,89,89,6,60,63,1163,309,64,10,416,673,882,80,57,37,16,84,3,4,849,107,207,195,258,481,229,673,439,26,2,22,0,1
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$59428.00,488,8,8,311,7,413,7,274,419,385,412,7,1,0,3,16,134,19,146,0,47,51,20,65,95,71,29,91,84,71,46,30,67,55,60,1,32,42,98,15,22,65,1157,1037,221,58,442,436,194,383,301,254,16,7,1,1,391,753,13,240,91,657,169,145,278,49,477,116,54,38
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$76012.00,6,14,22,0,1,4,5,2,4,4,3,6,6,1,4,17,0,5,1,0,29,5,6,46,31,25,76,36,62,68,20,34,64,21,57,69,52,45,33,93,49,9,930,493,151,423,306,50,786,99,15,29,0,0,0,1,885,31,14,304,259,246,121,336,162,289,49,2,28,64
Mental Health Association of East Tennessee,Treatment Access Bank,$75242.00,254,4,2,157,230,58,7,63,114,94,25,6,5,1,0,4,71,225,212,0,8,97,33,27,72,78,45,42,25,16,18,25,71,48,43,12,59,83,82,28,93,31,1036,481,81,506,159,290,140,642,154,32,17,16,24,11,826,87,123,136,268,752,0,18,135,311,488,38,10,36
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$86635.00,458,36,14,292,292,273,7,283,354,186,231,9,6,0,9,0,215,324,259,0,76,45,25,16,18,60,25,47,11,35,63,49,62,35,79,33,66,12,96,18,7,48,926,113,211,300,165,250,764,128,24,2,6,1,0,1,657,51,218,113,736,179,0,612,283,27,0,1,0,3
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$94449.00,454,25,13,50,0,299,0,297,62,199,331,3,7,0,4,19,43,158,156,0,97,28,32,68,87,53,73,65,63,20,58,67,79,70,53,99,44,72,33,38,33,34,1266,827,145,77,542,502,151,489,238,108,193,42,15,30,590,373,303,244,427,282,313,319,72,745,51,2,16,61
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy for Justice Involved and Homeless Youth,$22135.00,475,44,6,158,380,319,2,467,443,463,440,3,2,8,0,16,38,265,34,0,54,75,36,32,37,25,4,54,95,47,27,61,54,33,95,10,31,27,78,65,92,21,1053,817,257,185,129,482,26,880,137,9,0,0,0,1,637,263,153,204,545,397,0,576,47,216,97,66,18,33
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy Community Behavioral Initiative,$30088.00,203,35,8,14,93,91,8,171,175,7,14,1,4,2,5,12,78,161,76,0,34,70,25,60,53,82,51,17,33,96,97,54,71,0,46,51,11,73,36,18,60,18,1056,779,204,91,7,754,42,184,18,273,22,252,140,125,265,139,652,371,516,208,0,178,505,61,311,0,0,1
"My Daughters Journey, Inc.",My Daughters Journey Family Advocacy Program,$72652.00,30,6,14,28,14,12,2,18,15,3,27,8,8,9,0,1,0,7,18,0,88,95,91,5,28,83,33,65,10,67,95,76,42,88,49,16,15,4,81,72,87,59,1249,629,36,219,520,474,4,253,94,551,277,63,2,5,737,412,100,150,939,32,128,580,486,95,51,4,16,17
"New Direction Health Care Solutions, Inc.",New Direction - Dealing With Loneliness and the Mental Health Implications,$31569.00,284,10,21,10,228,142,3,65,107,193,184,9,3,9,0,0,17,170,229,0,96,0,67,9,1,19,42,88,73,7,78,73,1,28,84,31,30,96,14,33,24,23,917,851,399,185,48,285,684,16,155,60,1,0,0,1,328,109,480,159,515,291,0,684,95,20,82,24,5,7
"New Direction Health Care Solutions, Inc.",New Direction - Back to Basic Needs at Vaccine Clinics (The Period),$87389.00,252,16,4,54,167,80,4,26,160,44,146,7,9,3,3,11,56,251,241,0,1,38,17,25,34,76,75,38,87,97,71,83,44,53,65,14,52,98,24,33,53,83,1161,1116,517,323,527,0,78,880,59,71,18,2,52,1,221,503,437,16,87,522,536,342,708,29,53,6,17,6
Next Step Initiative,Community Outreach Program,$74089.00,207,4,21,27,122,85,7,116,159,42,129,8,9,6,1,15,98,24,3,0,97,12,54,65,43,17,10,63,49,17,2,21,46,0,94,76,1,15,84,91,60,21,938,167,350,187,66,335,319,106,253,203,47,5,3,2,425,204,309,138,451,147,202,368,510,12,5,7,23,13
Next Step Initiative,Trenches 2 Treatment / Community Outreach Program,$80646.00,336,16,3,100,192,119,9,290,195,196,203,8,3,4,3,16,117,306,294,0,38,55,33,91,39,41,54,45,53,92,77,43,22,48,74,54,6,27,42,27,96,88,1145,949,83,202,190,670,906,206,15,17,0,0,0,1,713,141,291,272,765,86,22,398,315,53,15,68,13,283
"Nourish Knoxville, Inc",Nourish Community: Locally Grown Produce for At-Risk Community Members,$37366.00,466,33,0,199,283,27,3,130,463,406,48,0,3,5,7,18,1,305,275,0,50,2,19,45,4,37,43,55,20,58,25,5,45,39,99,63,62,36,57,34,43,58,899,175,288,168,10,433,553,173,46,63,62,1,0,1,174,204,521,182,108,381,228,390,214,164,130,0,0,1
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$49982.00,189,40,5,135,112,72,7,166,28,172,159,6,5,4,7,19,54,10,32,0,74,13,33,85,96,10,51,90,45,68,33,17,68,14,94,28,94,95,52,99,20,20,1199,956,336,312,555,0,901,16,142,71,38,18,7,6,938,225,36,565,597,249,0,1151,10,11,0,17,2,8
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$42060.00,244,46,3,24,88,157,9,176,222,146,30,7,4,7,0,10,16,222,213,0,85,54,29,57,21,76,20,25,62,62,33,67,97,57,11,93,31,81,21,48,89,51,1170,115,473,29,537,131,160,700,177,110,10,2,5,6,1147,16,7,249,647,191,83,569,486,59,53,1,0,2
Shora Foundation,Academic Center,$52720.00,218,48,21,37,72,175,9,123,102,214,78,2,6,5,4,16,40,49,197,0,11,99,57,67,43,69,27,70,27,61,62,53,91,31,7,19,11,79,1,2,95,63,1045,277,320,483,149,93,62,306,47,327,187,16,17,83,851,11,183,80,135,477,353,923,20,1,98,1,0,2
Shora Foundation,Shora Foundation - Mental Health Division,$65880.00,194,13,16,140,109,178,9,5,96,61,162,1,7,8,8,14,9,94,112,0,67,90,94,28,5,78,78,2,44,48,39,62,37,66,49,32,10,42,91,8,39,49,1058,955,320,45,194,499,685,297,66,3,2,1,1,3,570,213,275,103,159,329,467,828,120,89,12,4,2,3
Shora Foundation,Shora Foundation Academic Center,$58134.00,254,33,14,70,249,20,3,36,234,26,43,2,0,2,1,14,82,219,67,0,88,34,24,63,23,47,89,90,94,43,18,86,35,45,67,79,53,44,3,88,51,63,1227,946,491,29,201,506,572,87,503,25,5,12,17,6,481,166,580,482,551,412,0,689,110,393,3,12,0,20
"Soar Youth Ministries, dba Thrive Lonsdale",Thrive Afterschool and Summer Program Providing Nutritious Meals and Academic Support,$11686.00,120,35,8,36,108,19,4,50,42,4,83,7,6,4,2,3,28,73,68,0,23,89,60,24,27,82,83,67,78,37,16,30,55,64,57,21,9,58,66,3,32,88,1069,195,155,294,315,305,848,33,143,20,10,4,0,11,524,331,214,361,372,422,0,539,462,42,19,1,2,4
Solidarity Development and Light Association,Refugee family stabilization,$48147.00,119,10,21,74,117,11,7,48,75,16,53,2,6,7,0,0,28,41,13,0,14,64,80,71,75,40,87,16,3,33,58,8,74,98,52,52,71,63,91,32,90,82,1254,230,458,63,383,350,594,7,275,158,46,143,10,21,917,203,134,363,590,521,0,161,383,517,185,1,6,1
Spark,Spark A Journey,$53071.00,368,49,21,163,60,104,1,217,106,119,249,4,9,9,1,11,120,209,319,0,77,80,5,51,58,53,96,31,75,30,9,80,94,94,23,21,22,97,30,26,66,53,1171,866,290,340,172,369,271,341,191,257,96,5,3,7,624,213,334,532,77,573,0,154,329,286,107,261,4,30
Susannah's House,Mothers in Recovery,$46011.00,386,42,19,10,127,1,8,77,332,373,312,2,7,7,9,18,130,317,365,0,93,55,56,71,98,61,65,81,12,2,11,36,11,64,57,84,99,83,35,37,82,47,1240,144,420,75,381,364,406,237,272,162,104,25,30,4,799,363,78,88,1008,207,0,1078,129,15,2,2,9,5
The Children's Center of Knoxville,Tuition Assistance for low-income/at risk families,$88465.00,264,24,12,161,223,244,5,45,232,210,239,9,2,0,7,17,30,95,246,0,49,19,13,59,71,92,18,85,55,91,74,21,22,14,97,20,57,95,68,38,80,99,1237,939,210,579,18,430,859,143,89,78,54,1,8,5,1080,48,109,306,640,465,0,617,51,548,17,2,1,1
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,$58212.00,94,26,21,52,5,11,2,31,73,58,84,7,9,5,6,17,27,90,77,0,68,25,36,80,17,75,58,82,68,78,62,10,33,15,58,47,12,34,67,12,62,66,1065,437,123,411,227,304,932,127,2,1,0,2,0,1,258,733,74,120,291,619,35,785,279,0,0,0,0,1
